day,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,weighted_mean,max
35,0.9762978241011093,0.023701858460732424,0.0,0.0,6.514138163929063e-97,3.0884466489580263e-75,3.174381581136171e-07,0.023703763089681106,0
36,1.2129711876558928e-06,2.0364470894415142e-39,0.0,0.9999987870288124,2.0492378737753393e-59,4.014948733377514e-284,3.125320095435621e-51,2.999996361086437,3
37,0.9995200385254414,3.1470139803142886e-06,0.0,0.0,3.484453494827845e-62,0.00047681446057820903,1.3607877524102194e-57,0.0023872193168713593,0
38,6.728434548176712e-07,1.0960359081784286e-17,0.0,0.9999993271565452,2.246702678116779e-54,0.0,1.6749585182584066e-153,2.9999979814696354,3
39,2.224088254871258e-06,4.177550049969166e-28,0.0,0.9999977759117451,4.113890868507404e-55,0.0,2.2715526900973152e-60,2.9999933277352353,3
40,1.76710726887972e-06,6.976607594426671e-16,0.0,0.9999982328927259,1.4432156884159274e-58,4.563553952838319e-15,6.43233188482736e-29,2.999994698678201,3
41,2.4614943660034645e-06,3.6311693203025e-14,0.0,0.9999975385055976,8.469177404712872e-64,5.553984000547979e-17,2.0068378282477305e-28,2.9999926155168297,3
42,1.2810890609643073e-08,3.867196498329045e-06,0.0,0.9999961199926111,4.441400432044954e-50,1.1941213404511902e-189,1.6498005400002258e-164,2.9999922271743316,3
43,2.259512599190398e-06,2.6224611183184595e-12,0.0,0.9999977404847783,1.3286250169222944e-60,9.519029993996335e-68,2.55301979290593e-68,2.999993221456957,3
44,0.15196262507025643,0.07831146717512627,0.0,0.0,0.0,9.517016641334799e-100,0.7697259077546174,4.69666691370283,6
45,5.651688912159795e-06,0.9293542623862598,0.0,0.0,0.0,4.1902274643809115e-81,0.07064008592482801,1.353194777935228,1
46,0.9999988425604228,1.1574395772435087e-06,0.0,0.0,1.0750214299741143e-54,1.8664879829766666e-94,3.4435126955187283e-25,1.1574395772435087e-06,0
47,0.9968422084197399,0.0031538170868624688,0.0,0.0,4.062534960002206e-86,6.442782937294074e-61,3.9744933976491655e-06,0.003177664047248364,0
48,2.3186822903823683e-06,6.732808291147856e-15,0.0,0.9999976813177028,1.0219299752087332e-83,1.242239581785098e-51,3.81809120699855e-23,2.9999930439531153,3
49,1.210052683973837e-06,5.651797818460246e-08,0.0,0.9999949613430829,9.275150965877232e-89,0.0,3.7720862549031304e-06,3.000007573064756,3
50,1.1691484145051681e-06,7.863287877325836e-17,0.0,0.9999988308515855,3.9006662467211364e-42,3.15258545661563e-146,4.943386655629448e-21,2.9999964925547564,3
51,0.9999988281291863,1.1718705528767747e-06,0.0,0.0,0.0,1.8144397179403045e-63,2.608003246371453e-13,1.1718721176787226e-06,0
52,1.7518945846919551e-06,1.807657359328675e-20,0.0,0.9999982481054154,1.4710330277813524e-47,0.0,2.9222371303900776e-121,2.999994744316246,3
53,0.9999999999999905,9.51519164668157e-15,0.0,0.0,1.107116018752341e-49,0.0,1.7505833871686684e-90,9.51519164668157e-15,0
54,2.851362500464616e-06,4.430659805992003e-33,0.0,0.9999971486374996,3.1619422759031595e-60,0.0,1.1719060279211459e-63,2.9999914459124986,3
55,0.5698489371422975,0.42576967027444224,0.0,0.0,9.910081738695545e-118,7.210603735203193e-39,0.004381392583260317,0.4520580257740041,0
56,0.9998412735717638,0.00015872642823619435,0.0,0.0,0.0,1.3056435695594737e-196,9.281633842357001e-179,0.00015872642823619435,0
57,4.5544211915123397e-08,0.0002381587944540271,0.0,0.0,5.355876412761806e-92,0.999761795661334,0.0,4.999047137101124,5
58,2.169730458085313e-08,1.841327893288352e-09,0.0,0.9999999764613675,4.1882267934359508e-47,4.038996185519732e-58,2.5014724465905832e-234,2.9999999312254304,3
59,2.2257742972702117e-09,0.000440759890362386,0.0,0.9995592377378292,3.0300881664660416e-51,1.4603408471523378e-10,3.091505726163236e-292,2.9991184738340206,3
60,1.2967332480478452e-06,1.639041311633918e-20,0.0,0.999998703266752,5.747647936086405e-46,0.0,1.2382242008009937e-133,2.999996109800256,3
61,8.566370307088527e-07,3.932172128788562e-17,0.0,0.9999991433629692,1.6113469180827434e-54,1.229684370986609e-48,1.4284739556340242e-71,2.9999974300889076,3
62,1.2663268924399645e-07,5.884967648969552e-05,0.0,0.999941023690821,4.825356064234556e-58,3.731280862551996e-229,3.6250102450236434e-92,2.999881920748953,3
63,3.5941178370285113e-10,0.0009134643420864826,0.0,0.9990865352985011,1.0416835927591828e-47,6.26073502620983e-16,0.0,2.9981730702375926,3
64,1.736836820151302e-13,2.811457527333696e-30,0.9999936247774843,6.3752223419352785e-06,1.292393228690095e-159,5.812999151624053e-123,2.429216258446435e-211,2.0000063752219943,2
65,5.775703208460683e-17,2.266666180296666e-67,0.9999999999930387,6.961251485604125e-12,4.826094741204921e-220,0.0,6.21078490566354e-161,2.000000000006961,2
66,0.000854779108800617,0.9991452208911994,0.0,0.0,2.380772899366567e-37,0.0,0.0,0.9991452208911994,1
67,1.4082811220061878e-06,3.5988083803190998e-22,0.0,0.999998591718878,8.993325136996504e-52,0.0,3.5847003509914965e-144,2.9999957751566337,3
68,0.9999999999999976,2.528560800928773e-15,0.0,0.0,7.188476215740521e-38,0.0,5.886079534161187e-91,2.528560800928773e-15,0
69,2.513249711455963e-06,6.402060738073847e-23,0.0,0.9999974867502885,4.248733800192392e-57,0.0,2.705862613268156e-91,2.9999924602508656,3
70,3.3969408059230866e-08,7.095405404500635e-10,0.0,0.9999999653210514,1.7385943353392276e-56,7.574743064621392e-165,5.724283108220539e-223,2.9999998966726946,3
71,8.131656679507068e-07,4.439003451572968e-15,0.0,0.9999991868343276,6.106154873890588e-48,0.0,1.5743452755488673e-141,2.9999975605029876,3
72,4.602564205118112e-07,5.22856083877759e-13,0.0,0.9999995397430566,5.439799930729876e-53,3.926369469455641e-18,2.415039746257831e-109,2.9999986192296926,3
73,1.7481985704286511e-06,6.114641663978649e-25,0.0,0.9999982518014295,9.43031146078091e-73,0.0,3.47413975393584e-80,2.9999947554042885,3
74,3.5300339052572042e-06,3.550327390875579e-13,0.0,0.9999964699381194,2.170137834511288e-107,0.0,2.7620301509724313e-11,2.9999894099804347,3
75,2.6853355540544925e-06,3.6437928573379996e-34,0.0,0.999997314664446,9.254597851762445e-86,0.0,7.166577416964942e-69,2.999991943993338,3
76,7.212599082394477e-11,1.555011511162411e-13,0.0,0.339212290713731,3.3701954871240602e-75,0.6607877092139876,0.0,4.321575418211286,5
77,3.105086882165327e-09,2.8345654914508422e-08,0.0,0.9999992881008679,9.548357656494536e-52,6.804483903095662e-07,5.71087154392568e-283,3.00000129489021,3
78,4.6455825112002314e-09,1.7838692713072717e-07,0.0,0.9999996432151848,3.502359720362106e-42,1.737523056943804e-07,7.857345474844777e-275,2.9999999767940095,3
79,7.055924061954973e-10,4.27816495077546e-06,0.0,0.9999957211262551,1.6947761479356844e-41,3.201710461624461e-12,0.0,2.999991441559725,3
80,2.619311861601516e-08,1.210151683609516e-19,0.0,0.9999999738068813,1.2461444925700399e-47,0.0,5.966625810420067e-287,2.999999921420644,3
81,2.2972422125073574e-07,8.213443166141852e-31,0.0,0.9999997702757787,6.794330928684068e-33,0.0,5.745638439163948e-218,2.999999310827336,3
82,1.0009020240367553e-06,1.2778143852309974e-28,0.0,0.9999989990979761,6.548731936076195e-43,0.0,1.6037110677959148e-154,2.999996997293928,3
83,1.575117639552968e-06,5.407786610107671e-25,0.0,0.9999984248823605,1.540235692662817e-48,0.0,5.8015187240615e-132,2.9999952746470813,3
84,1.938535274434428e-06,5.543035601268119e-34,0.0,0.9999980614647256,1.117654067366104e-47,0.0,7.447150861198895e-124,2.999994184394177,3
85,7.84833032320767e-07,1.5162013249814128e-32,0.0,0.9999992151669677,1.6606230532098164e-75,0.0,1.5007185554849416e-175,2.999997645500903,3
86,5.70804572737837e-07,3.0185858995536483e-33,0.0,0.9999994291954273,9.694290465039974e-50,0.0,5.180486132693261e-176,2.9999982875862816,3
87,1.8433340413483551e-06,3.105655299271224e-22,0.0,0.9999981566659587,5.738902319952066e-69,0.0,1.2448671836278586e-103,2.9999944699978762,3
88,0.03265183814113652,1.4205226692983943e-14,7.5565907257880834e-34,0.0,0.0,9.860801000755051e-265,0.9673481618588493,5.80408897115311,6
89,2.08300766098724e-13,7.001801412018428e-147,0.0,0.0,0.0,0.0,0.9999999999997917,5.99999999999875,6
