name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Erlangen, Bayern, Deutschland",2022-01-26,-0.1,-0.6,-0.3,-0.2,-5.3,-3.5,-1.9,89.4,0,0,0,,0,4.5,26.6,18.5,267.9,1032.8,51.5,11.7,11.5,1,0,10,2022-01-26T07:56:24,2022-01-26T17:01:15,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-27,2.1,-2.1,-0.3,-2.1,-7.8,-4.9,-1.8,89.7,0.3,100,20.83,"rain,snow",0.1,4.4,60.1,23.2,246.2,1028.2,99.7,11.1,13.1,1.3,1,10,2022-01-27T07:55:10,2022-01-27T17:02:54,0.86,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-28,4.5,1.8,3,0.9,-3.7,-1.4,-0.4,78.6,0.442,100,29.17,"rain,snow",0.1,4.4,52.9,27.7,268.6,1031.4,89.9,31.3,36.4,3.1,1,10,2022-01-28T07:53:55,2022-01-28T17:04:33,0.91,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-29,6,2.4,3.7,1.3,-2,-0.4,1.5,85.5,0.084,100,8.33,rain,0.2,3.3,67.7,32.6,242.4,1028.2,99.3,23.3,13.4,1.4,1,10,2022-01-29T07:52:37,2022-01-29T17:06:13,0.95,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-30,5.8,3.2,4.9,1.3,-0.8,0.2,-0.4,69.5,1.227,100,20.83,"rain,snow",20,14.1,65.5,39.5,270.4,1025.2,62.4,35,42.8,3.7,2,10,2022-01-30T07:51:18,2022-01-30T17:07:54,0.98,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-01-31,3.5,0.5,2.3,0.2,-3.4,-2,0.2,86.7,6.394,100,58.33,"rain,snow",1.5,8.1,66.2,32,251.7,1012.1,100,24.4,10.8,1,0,10,2022-01-31T07:49:56,2022-01-31T17:09:35,1,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-01,4,0.6,2.1,-1,-4.4,-3,0.4,88.8,4.157,100,70.83,"rain,snow",1.3,2.8,70.9,31.4,261.5,1015.9,99,22.2,23.7,2.2,1,10,2022-02-01T07:48:32,2022-02-01T17:11:16,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-02,7.3,1.6,5.1,2.8,-0.4,1.2,1.3,76.7,0.96,100,50,rain,1.2,3.6,61.6,35.3,278.3,1016.4,77.2,34.5,59.8,5.1,3,10,2022-02-02T07:47:06,2022-02-02T17:12:57,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-03,8.1,-1,4.2,6.6,-4.4,1.9,2.9,91.6,0.185,100,8.33,rain,9.1,7.4,24.8,16.4,155,1020.1,95.9,25.3,25.2,2.2,1,10,2022-02-03T07:45:39,2022-02-03T17:14:39,0.03,"Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-04,7,4.2,5.8,3.9,2.2,3.1,2.9,81.8,0.306,100,29.17,rain,22,21,60.8,21.7,230.8,1014.7,99.4,28.4,31.2,2.7,1,10,2022-02-04T07:44:09,2022-02-04T17:16:21,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-05,5,1.2,2.9,1.6,-3,-0.9,-0.8,77.1,1.513,100,16.67,"rain,snow",0,25.3,50,25.7,246,1022.4,51.1,44.6,38.1,3.3,2,10,2022-02-05T07:42:38,2022-02-05T17:18:03,0.11,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-06,6.2,2.6,4.6,2.2,-1.3,0.2,1,78.3,11.521,100,45.83,rain,0.7,10.3,95.8,41.7,226.2,1012.7,100,34.2,22.9,1.9,1,10,2022-02-06T07:41:05,2022-02-06T17:19:45,0.15,"Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-07,5.2,1.5,2.9,0.2,-4.5,-2.1,-0.4,79.5,2.92,100,37.5,"rain,snow",0.5,2,58,37.7,277.8,1018.4,58.5,35.1,32.7,2.8,1,10,2022-02-07T07:39:30,2022-02-07T17:21:28,0.2,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-08,6.1,0.9,3.8,4.1,-3.3,0.9,1.7,86,0.658,100,33.33,"rain,snow",6.8,5.4,52.2,23.9,229.4,1031.3,86.6,28.6,19.2,1.8,1,10,2022-02-08T07:37:54,2022-02-08T17:23:10,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-09,10.4,0.4,6,10.4,-3.1,4,3.3,83.6,0,0,0,,15.2,14.3,29.2,15.7,213.2,1029.1,45,34.4,40.3,3.5,2,10,2022-02-09T07:36:16,2022-02-09T17:24:52,0.29,Partially cloudy,Partly cloudy throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-10,8.9,-1.6,3.6,6.1,-6.8,0.4,0.7,82.8,0,0,0,,0,16.3,50,25.7,205.4,1023.7,52.3,34.3,59.5,5.2,3,10,2022-02-10T07:34:36,2022-02-10T17:26:35,0.34,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-11,5.1,1.5,3.6,2.5,-3.8,-0.1,0,77.4,1.194,100,50,"rain,snow",2.6,16.8,51.5,30.3,266.5,1027.4,84.2,38.8,42.6,3.6,2,10,2022-02-11T07:32:55,2022-02-11T17:28:17,0.38,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-12,6.2,-3.6,1.2,2.8,-6,-1.3,-2.6,77.9,0,0,0,,1.5,19.8,28.1,23.6,113.3,1032.1,35.9,35.9,101.4,8.8,5,10,2022-02-12T07:31:13,2022-02-12T17:29:59,0.42,Partially cloudy,Partly cloudy throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-13,10.3,-3.6,2.8,10.3,-8.6,-0.3,-2.2,71.9,0,0,0,,0,19.4,24.8,16.4,131.1,1020.8,17.7,41.8,104,9,5,10,2022-02-13T07:29:29,2022-02-13T17:31:41,0.45,Clear,Clear conditions throughout the day.,clear-day,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-14,10.2,1.1,5.7,10.2,-2.7,3.1,-2.9,55.2,0,0,0,,0,17,38.9,20.1,130.6,1010.1,64.4,36.6,55.2,4.7,3,10,2022-02-14T07:27:43,2022-02-14T17:33:23,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-15,7.7,1.8,5.1,5.3,-2.1,2.9,3.3,88.1,2.147,100,50,rain,0,16.1,37.1,18.3,192.4,1013.9,77.7,26.5,40.5,3.4,2,10,2022-02-15T07:25:56,2022-02-15T17:35:05,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-16,9.9,2.7,6.1,7.4,-1.3,2.8,3.7,84.3,2.938,100,75,rain,0,12.7,65.5,26.6,188.5,1008.2,98.7,33.2,29.1,2.5,2,10,2022-02-16T07:24:08,2022-02-16T17:36:47,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-17,12.2,4.6,9.3,12.2,0.3,7.2,4.9,75.4,7.59,100,75,rain,0,1,89.6,55.6,255.3,1005.2,84.3,30.3,65.2,5.7,3,10,2022-02-17T07:22:19,2022-02-17T17:38:28,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-18,13.3,4.5,8.4,13.3,1.8,6.4,3.7,73,1.146,100,33.33,rain,0,0,81,43.4,217,1008.5,93.6,30,38.2,3.2,3,10,2022-02-18T07:20:29,2022-02-18T17:40:09,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-19,8.1,2.2,5.6,3.9,-0.9,1.3,-2.8,55.6,0,0,0,,1.2,0.4,77.8,37.6,244.1,1015.8,53.9,42.9,99.4,8.6,5,10,2022-02-19T07:18:37,2022-02-19T17:41:50,0.54,Partially cloudy,Partly cloudy throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-20,8.6,2.6,6.5,5.5,-3.5,2.5,2.2,74.3,1.3,100,50,"rain,snow",0.7,1.9,61.9,33.8,223.3,1014.3,97.5,38.4,26.2,2.1,1,10,2022-02-20T07:16:44,2022-02-20T17:43:31,0.58,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"00282,01279,03667,03975,03668,E4327,01721"
"Erlangen, Bayern, Deutschland",2022-02-21,9.6,3.3,5.9,6.1,-2,1.1,1.1,72.5,4.415,100,58.33,"rain,snow",1.2,2.4,74.9,40.6,243.2,1004.7,84.1,36.4,41.6,3.6,2,10,2022-02-21T07:14:50,2022-02-21T17:45:12,0.62,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"00282,01279,03667,03975,03668,E4327,01721"
