day,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,weighted_mean,max
135,0.0,0.0,1.0,0.0,6.375695841311704e-104,9.010607184505379e-33,0.0,2.0,2
136,0.0,0.9999979516126468,2.048385966693079e-06,0.0,1.3865097282681936e-12,1.7204615634865453e-58,0.0,1.0000020483901262,1
137,0.9989905314904873,1.8219827216524855e-195,0.000978921854640864,0.0,3.0546654871877715e-05,5.548266443202394e-65,0.0,0.002080030328769239,0
138,0.0,0.0,1.0,0.0,0.0,1.999106963885344e-61,0.0,2.0,2
139,0.0,0.9999955205942309,4.479405769109441e-06,0.0,0.0,3.6237706372543294e-60,4.224357180845067e-299,1.0000044794057692,1
140,0.0,0.0,0.9501019816579327,0.0,0.049898018342067384,7.480281835449021e-18,4.028261804065936e-282,2.099796036684135,2
141,0.9959293720421027,0.0,0.0011475948500799873,0.0,0.0029230331078173217,2.4819269114126284e-39,0.0,0.013987322131429262,0
142,0.0,0.0,0.9999996944175208,0.0,3.05582479125913e-07,4.573958932189246e-17,9.915007514254226e-292,2.0000006111649586,2
143,0.0,0.0,0.004062685734838485,0.0,5.394743459239311e-13,3.817713660813233e-11,0.9959373142264449,5.98374925702139,6
144,0.0,0.0,0.046338728701221125,0.0,0.9536612712987788,1.0831242809890743e-16,0.0,3.9073225425975577,4
145,0.9475747159465935,0.0,0.0005145919306344305,0.0,0.0519106921227721,1.4310899966828348e-20,0.0,0.20867195235235725,0
146,0.0,0.0,0.9999999637038572,0.0,2.2821949182064058e-42,1.717240242326931e-08,1.9123740324182944e-08,2.0000001280121684,2
147,0.9995057112002744,0.0,0.0004845878321872388,0.0,9.700967538386763e-06,3.2442781844390464e-45,0.0,0.0010079795345280247,0
148,0.0,0.0,0.9997901013025853,0.0,0.00020989869741469232,3.651254481218423e-31,7.890566395366175e-194,2.0004197973948292,2
149,0.9996039791900619,0.0,0.00039601967296657445,0.0,1.1369714572207355e-09,1.651340448807211e-80,0.0,0.0007920438938189778,0
150,0.0,0.0,0.9999156569806843,0.0,8.434301931559146e-05,5.669599373517466e-71,0.0,2.000168686038631,2
151,0.0,0.0,0.9999430296924667,0.0,5.697030753333105e-05,2.0557204406381833e-45,0.0,2.000113940615067,2
152,0.9998912888211372,0.0,0.00010870482085195414,0.0,6.358010921905585e-09,5.845288407790747e-74,0.0,0.0002174350737475959,0
153,0.0,0.9999996619914384,3.3800856156014137e-07,0.0,0.0,5.704773604573901e-61,0.0,1.0000003380085616,1
154,0.0,0.0,0.0005602255345860958,0.0,4.064141412708544e-06,2.473324533475813e-26,0.9994357103240011,5.9977509695788305,6
155,0.0,0.0,0.00043920491837327863,0.0,1.5259864839335655e-05,1.893518908757832e-18,0.9995455352167874,5.9982126605968284,6
156,0.847472938116574,0.0,0.00043497117139833593,0.0,0.15209209071202773,3.782669085322353e-28,1.0314876812870723e-231,0.6092383051909076,0
157,3.104134317783097e-90,0.0,0.0031180569962400953,0.0,0.9968819430037599,8.727143991824966e-18,1.34092556666e-313,3.9937638860075197,4
158,0.0,0.0,0.15284155149366335,0.0,0.8471584485063367,1.4078074047718014e-33,0.0,3.6943168970126736,4
