day,cluster,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
9,6,0.06972839538770423,0.09874612789477616,0.06317831736644887,0.10095778130292754,0.2882225678545742,0.3144264595497395,0.06474035064382924,14.384969106369008,9.711109053505886,94.82047797076963,3.652163244026825,9.01037920403132,82.9458660841312,453.28782192319994,6.880259806394537,3.8740470891799736,-3.4595114244021614,2.838710551543825,1.4589666988234755,-9.646769941786824,-7.883033921251057,3.8740470891799736,4.371622751413537,0.07559922576090629,3.423845746333045,1.9482618603239523,-2.8481307809684866,40.236533001585066,-3.4595114244021614,0.07559922576090629,14.161327842716888,-1.949402273072963,3.308258455916936,0.1824007055353136,98.45338732343811,2.838710551543825,3.423845746333045,-1.949402273072963,15.257645545978672,5.1680133776308645,-2.0933507767171977,-65.75650853331427,1.4589666988234755,1.9482618603239523,3.308258455916936,5.1680133776308645,9.072686543670795,-7.742392752582838,32.33286985866293,-9.646769941786824,-2.8481307809684866,0.1824007055353136,-2.0933507767171977,-7.742392752582838,39.812511348304504,73.20218861341176,-7.883033921251057,40.236533001585066,98.45338732343811,-65.75650853331427,32.33286985866293,73.20218861341176,3446.996628348882
10,0,0.08005128954231643,0.1372047253367381,0.06514072414397296,0.10181297118709516,0.09033120233034876,0.46087340807069194,0.06458567938883643,14.743145817773815,5.984340055307536,82.5217542312116,1.2658366671253694,4.521864686642003,49.32012367946218,550.1728665019325,23.513766920214884,16.19147592710315,-19.624918082757816,0.6763730011200254,0.93066178367719,-48.201415979659124,-92.07287429621462,16.19147592710315,16.85805473215697,-12.659618527866362,2.318927796063812,3.26457987920812,-19.13832665945749,-105.30577153476386,-19.624918082757816,-12.659618527866362,113.1180013567786,-6.534617617773263,-3.0563838132469336,79.6260153282892,114.17027698232914,0.6763730011200254,2.318927796063812,-6.534617617773263,2.5128868541608695,2.238858477118488,-1.4195429877349612,-65.8451630029763,0.93066178367719,3.26457987920812,-3.0563838132469336,2.238858477118488,8.54090623141365,-9.395323446429742,-242.20828539047957,-48.201415979659124,-19.13832665945749,79.6260153282892,-1.4195429877349612,-9.395323446429742,373.99051294979284,700.6649289302862,-92.07287429621462,-105.30577153476386,114.17027698232914,-65.8451630029763,-242.20828539047957,700.6649289302862,10733.361503803262
10,1,0.08005128954231643,0.1372047253367381,0.06514072414397296,0.10181297118709516,0.09033120233034876,0.46087340807069194,0.06458567938883643,34.25248055442956,20.65754163427385,64.45489424415706,0.014014332447775838,1.7860893297784024,11.262298889848935,537.8696157040924,8.507701548524691,2.502763235039037,-24.624103200812904,-0.023317950558733296,-2.6668247109924668,-10.673668591296117,-13.15239214440663,2.502763235039037,3.1679251754554114,-6.408024482687111,-0.0005381402343233754,-0.1974595795901937,4.2176414586504904,16.69905486385273,-24.624103200812904,-6.408024482687111,108.87294618140069,0.0883676117612105,11.122472426698677,38.95337069013695,-13.01514005561912,-0.023317950558733296,-0.0005381402343233754,0.0883676117612105,0.0022205501361358283,0.06782418637541686,0.2484350851784209,1.4145060026207334,-2.6668247109924668,-0.1974595795901937,11.122472426698677,0.06782418637541686,6.329464432467959,13.272352833840051,68.49958516441431,-10.673668591296117,4.2176414586504904,38.95337069013695,0.2484350851784209,13.272352833840051,102.40754132682046,325.7455184359177,-13.15239214440663,16.69905486385273,-13.01514005561912,1.4145060026207334,68.49958516441431,325.7455184359177,3332.74798235704
10,2,0.08005128954231643,0.1372047253367381,0.06514072414397296,0.10181297118709516,0.09033120233034876,0.46087340807069194,0.06458567938883643,23.572438807405153,15.467091731389376,70.12024035660919,0.04905127514928212,4.650371648347937,36.36055746254432,431.171316729116,62.8225486007286,51.08902752352715,27.987725068425554,0.15888220926706162,7.224006064149582,1.791530451146454,265.2768052856186,51.08902752352715,45.528367260218715,19.94107094739032,0.1815390516400546,9.315896080462249,3.2059271747198093,312.6141640271555,27.987725068425554,19.94107094739032,110.39425698377543,-0.17880194106643232,2.3117869313347894,26.283257517604678,-130.93615648330945,0.15888220926706162,0.1815390516400546,-0.17880194106643232,0.0064680908275391805,0.07247256934630408,-0.34977510066720846,2.7861315428759745,7.224006064149582,9.315896080462249,2.3117869313347894,0.07247256934630408,11.173482511718834,10.458943703835152,152.58582044373696,1.791530451146454,3.2059271747198093,26.283257517604678,-0.34977510066720846,10.458943703835152,95.53098159434353,57.14673191288163,265.2768052856186,312.6141640271555,-130.93615648330945,2.7861315428759745,152.58582044373696,57.14673191288163,6098.552853211065
10,3,0.08005128954231643,0.1372047253367381,0.06514072414397296,0.10181297118709516,0.09033120233034876,0.46087340807069194,0.06458567938883643,16.75894491232469,11.002027412677236,91.73172357766681,14.016964427425961,11.951950025613078,66.48572947160588,478.32668773961797,36.39910027881218,27.43229568705825,-18.90313656153683,12.377274435093486,-8.140003129849362,-77.54346546061534,-10.87724355597143,27.43229568705825,24.620242370444906,-11.388620321492512,13.405193515060153,-3.4550033262294093,-43.316141930079446,-43.745090841454044,-18.90313656153683,-11.388620321492512,26.917475755611747,12.328988590571381,7.355175441258279,72.08378769297336,28.855051572445625,12.377274435093486,13.405193515060153,12.328988590571381,303.54298689794706,19.544253529816825,22.831245721964418,-117.41611318798975,-8.140003129849362,-3.4550033262294093,7.355175441258279,19.544253529816825,15.018146294117102,41.43499425890838,-33.19100815513091,-77.54346546061534,-43.316141930079446,72.08378769297336,22.831245721964418,41.43499425890838,327.2454912638879,-106.0918758569929,-10.87724355597143,-43.745090841454044,28.855051572445625,-117.41611318798975,-33.19100815513091,-106.0918758569929,1764.9754941994713
10,4,0.08005128954231643,0.1372047253367381,0.06514072414397296,0.10181297118709516,0.09033120233034876,0.46087340807069194,0.06458567938883643,21.678108972645486,9.450096863990744,62.61945924546545,0.16258813485703483,2.6120503900095056,3.976549334299537,613.4789057999877,111.39572277756514,83.81960513659254,-31.831321557920607,-0.1857658167473454,0.8922129741831732,13.005069099948026,-263.34782935421913,83.81960513659254,74.96200405564825,-33.01941189082135,-0.12512430531356436,4.002362137358438,14.402850091880595,-302.6961865211777,-31.831321557920607,-33.01941189082135,232.18522020980978,0.20270256808670234,-2.130843450668443,30.61868262316704,766.2156752261031,-0.1857658167473454,-0.12512430531356436,0.20270256808670234,0.10742420758697661,0.44747408768433233,0.036470607732034935,-13.634244847441858,0.8922129741831732,4.002362137358438,-2.130843450668443,0.44747408768433233,10.010966178335726,2.9876990754187025,-228.22865445643882,13.005069099948026,14.402850091880595,30.61868262316704,0.036470607732034935,2.9876990754187025,20.831392827712172,-24.95814027182807,-263.34782935421913,-302.6961865211777,766.2156752261031,-13.634244847441858,-228.22865445643882,-24.95814027182807,12239.92955585561
10,5,0.08005128954231643,0.1372047253367381,0.06514072414397296,0.10181297118709516,0.09033120233034876,0.46087340807069194,0.06458567938883643,22.064040790623377,10.590751985874045,72.46242398168432,0.0031844123105336975,0.4033391393943753,26.904365852409576,523.2015413099356,57.1271806201786,41.56033954230844,-41.201164090353025,-0.011329216779486315,-1.563565668336933,-64.5828700261703,72.37585754667124,41.56033954230844,41.02272162618534,-13.27971918683046,-0.005718641326347285,-0.8106336017777274,8.045972783434381,1.941960287648539,-41.201164090353025,-13.27971918683046,225.42894341663674,0.036826863243142466,4.444295680940788,272.5687970608334,-292.34006580289133,-0.011329216779486315,-0.005718641326347285,0.036826863243142466,0.00015686407905615425,0.012016802574923293,0.07112033928486361,-0.04899393119138042,-1.563565668336933,-0.8106336017777274,4.444295680940788,0.012016802574923293,1.5209634406001364,9.336146690641225,-8.32919494885446,-64.5828700261703,8.045972783434381,272.5687970608334,0.07112033928486361,9.336146690641225,686.6411810623706,-639.6123354498011,72.37585754667124,1.941960287648539,-292.34006580289133,-0.04899393119138042,-8.32919494885446,-639.6123354498011,1233.224954049433
10,6,0.08005128954231643,0.1372047253367381,0.06514072414397296,0.10181297118709516,0.09033120233034876,0.46087340807069194,0.06458567938883643,14.370976420519677,9.713082073956329,94.79014741050885,3.7487301479173505,9.149789742403751,82.89038108470386,453.21033817138573,6.989642511762864,3.9310647570463093,-3.344147613139436,2.6522478751938285,1.1563579134272708,-9.637616561463306,-7.687162346240747,3.9310647570463093,4.430255348584733,0.17944834929154224,3.3353375484799015,1.7717958520913075,-2.867852755287983,40.88543928858092,-3.344147613139436,0.17944834929154224,14.225273350558812,-1.6673695618585034,3.5812987556891906,-0.0029390611737704552,97.80323347014048,2.6522478751938285,3.3353375484799015,-1.6673695618585034,15.256560536579142,4.998889623640355,-1.9177593748169077,-63.66955737328581,1.1563579134272708,1.7717958520913075,3.5812987556891906,4.998889623640355,8.836830168068138,-7.527229915112079,35.507601812961894,-9.637616561463306,-2.867852755287983,-0.0029390611737704552,-1.9177593748169077,-7.527229915112079,40.10650664222206,71.33432858233319,-7.687162346240747,40.88543928858092,97.80323347014048,-63.66955737328581,35.507601812961894,71.33432858233319,3451.5812903022756
11,0,0.09650407912174029,0.10827100568553025,0.06774843533039739,0.09926618600626147,0.07848582131120871,0.4772455368468677,0.07247893569799438,14.979599024137903,5.953041347534934,82.54065780555935,1.0830833929769377,4.475650217516906,48.751920983514815,541.5243481842497,24.701542450243664,16.07164818472276,-18.9744139103784,-0.05901853743711091,0.33264136725730803,-48.2570031993086,-71.85084217206581,16.07164818472276,15.924719533453796,-9.491138677095242,1.481552431396878,2.4171283091062916,-12.262400846195414,-79.39627621993,-18.9744139103784,-9.491138677095242,112.14128451323211,-5.651600886172657,-1.916430551446683,101.66060507893869,85.5173070296425,-0.05901853743711091,1.481552431396878,-5.651600886172657,2.168274442457878,1.885919086840399,-0.6953077408924615,-47.126774545560934,0.33264136725730803,2.4171283091062916,-1.916430551446683,1.885919086840399,7.107260595759722,-6.145315972904547,-198.55926945702447,-48.2570031993086,-12.262400846195414,101.66060507893869,-0.6953077408924615,-6.145315972904547,425.79730983304864,531.7875533088821,-71.85084217206581,-79.39627621993,85.5173070296425,-47.126774545560934,-198.55926945702447,531.7875533088821,9460.16447326725
11,1,0.09650407912174029,0.10827100568553025,0.06774843533039739,0.09926618600626147,0.07848582131120871,0.4772455368468677,0.07247893569799438,34.04267410798238,20.57346344246825,65.20195813641244,0.0177931591696674,2.2820529516429113,11.436436752137261,538.103117885807,8.939525346732244,2.5479351121400584,-26.24737166664186,-0.025490740331646323,-2.953572670928096,-12.297352345426015,-16.86354773349897,2.5479351121400584,3.003122933361602,-7.040293698597935,0.0006253057427817516,-0.11621723105237669,4.531935287367207,21.0548842876796,-26.24737166664186,-7.040293698597935,111.50035988495453,0.09585358348842034,12.417770590973486,40.50943488972822,9.313647788825039,-0.025490740331646323,0.0006253057427817516,0.09585358348842034,0.0027394412720030048,0.07657496733269688,0.31056879341948396,1.788027533556617,-2.953572670928096,-0.11621723105237669,12.417770590973486,0.07657496733269688,6.884815653653178,16.63273156626642,86.08676611475825,-12.297352345426015,4.531935287367207,40.50943488972822,0.31056879341948396,16.63273156626642,117.62128737288825,426.1241702668363,-16.86354773349897,21.0548842876796,9.313647788825039,1.788027533556617,86.08676611475825,426.1241702668363,4076.808892156775
11,2,0.09650407912174029,0.10827100568553025,0.06774843533039739,0.09926618600626147,0.07848582131120871,0.4772455368468677,0.07247893569799438,23.65391300223106,15.422705758724215,70.7980328111354,0.045957323428772665,4.692995576080846,37.66528463546353,433.8025790088278,61.547168502658366,49.49968111738267,27.066398299238905,0.16376951391628963,7.774111587622856,2.8759878304384756,262.2034822063079,49.49968111738267,43.80056211592906,18.737361726807105,0.18561874604127643,9.579340818398812,3.5927303133821646,300.2879692368924,27.066398299238905,18.737361726807105,108.76081409546464,-0.17064023869338604,3.4319151344001746,32.67997634722925,-90.07890039112716,0.16376951391628963,0.18561874604127643,-0.17064023869338604,0.006168025677379325,0.0626380510909971,-0.3491940042413072,2.4679809397701993,7.774111587622856,9.579340818398812,3.4319151344001746,0.0626380510909971,10.107419661859575,10.597957201509985,143.00982272900117,2.8759878304384756,3.5927303133821646,32.67997634722925,-0.3491940042413072,10.597957201509985,106.48611119517106,106.42832217325964,262.2034822063079,300.2879692368924,-90.07890039112716,2.4679809397701993,143.00982272900117,106.42832217325964,5987.117082377478
11,3,0.09650407912174029,0.10827100568553025,0.06774843533039739,0.09926618600626147,0.07848582131120871,0.4772455368468677,0.07247893569799438,16.898663175153157,11.189050012570625,91.64817500725216,14.348277646477724,12.057131938471345,66.18045346457563,478.5213368055504,36.75100161422048,27.403232192956427,-19.54098792402636,11.127235660125473,-8.869978829919491,-79.86894351170643,-8.878508667639872,27.403232192956427,24.246297704905817,-11.708162857327956,11.536868062550132,-4.461875835527675,-44.47110721682764,-43.6563256794714,-19.54098792402636,-11.708162857327956,28.106807672262864,13.542971472758957,7.7174521105263585,75.66225405781269,26.12682062611537,11.127235660125473,11.536868062550132,13.542971472758957,306.88489231446374,18.41000245189546,26.271964892221305,-121.5650684027873,-8.869978829919491,-4.461875835527675,7.7174521105263585,18.41000245189546,14.570653987044324,43.12819318134646,-35.350008852437036,-79.86894351170643,-44.47110721682764,75.66225405781269,26.271964892221305,43.12819318134646,340.6472288228915,-114.05649577076264,-8.878508667639872,-43.6563256794714,26.12682062611537,-121.5650684027873,-35.350008852437036,-114.05649577076264,1787.0005451680515
11,4,0.09650407912174029,0.10827100568553025,0.06774843533039739,0.09926618600626147,0.07848582131120871,0.4772455368468677,0.07247893569799438,21.610425673174934,9.47154925548527,65.24893834856347,0.15679873482563494,3.2344888677348944,4.840261551912146,624.382725188602,117.56938297937953,88.9894216635726,-27.3067857255041,0.13663114125399062,2.3259837149897824,15.85678501295015,-330.4451430278469,88.9894216635726,77.62688841776765,-35.39584516195991,0.16377930132211768,5.44275434708055,15.64924254930314,-368.9511778888489,-27.3067857255041,-35.39584516195991,222.00315357033784,-0.2731442995999602,-10.767770310740309,27.788763095652136,670.9625734621746,0.13663114125399062,0.16377930132211768,-0.2731442995999602,0.05949805141304656,0.379840712159284,-0.013691247820329119,-14.282118380108914,2.3259837149897824,5.44275434708055,-10.767770310740309,0.379840712159284,10.353236696304291,2.2396975140812314,-314.781914251333,15.85678501295015,15.64924254930314,27.788763095652136,-0.013691247820329119,2.2396975140812314,22.44131778586309,-107.92779910411613,-330.4451430278469,-368.9511778888489,670.9625734621746,-14.282118380108914,-314.781914251333,-107.92779910411613,12881.715551640931
11,5,0.09650407912174029,0.10827100568553025,0.06774843533039739,0.09926618600626147,0.07848582131120871,0.4772455368468677,0.07247893569799438,23.126797099127,11.3296916405419,70.41954043102459,0.001274853475989682,0.12758146488358899,23.644169052784616,525.8757321235765,63.14384627245846,47.20759338472925,-43.55509647713823,-0.007907308862248543,-0.8185004280572947,-61.30943009509225,71.56160183055849,47.20759338472925,46.11974417221397,-16.695345168617646,-0.004197279861636128,-0.5365931776710924,2.9926742595001192,5.869331740293035,-43.55509647713823,-16.695345168617646,228.89713883899915,0.01992148688437116,1.7257948178264844,254.4393027876849,-280.5852121628512,-0.007907308862248543,-0.004197279861636128,0.01992148688437116,6.230898655231957e-05,0.0051534914125776245,0.03662419278437938,-0.025381713939912433,-0.8185004280572947,-0.5365931776710924,1.7257948178264844,0.0051534914125776245,0.5157376920716268,3.253367257665765,-2.421809575838963,-61.30943009509225,2.9926742595001192,254.4393027876849,0.03662419278437938,3.253367257665765,607.5079673550078,-567.7384557754066,71.56160183055849,5.869331740293035,-280.5852121628512,-0.025381713939912433,-2.421809575838963,-567.7384557754066,1208.700029094317
11,6,0.09650407912174029,0.10827100568553025,0.06774843533039739,0.09926618600626147,0.07848582131120871,0.4772455368468677,0.07247893569799438,14.23905035559871,9.589348217750453,94.97507697074356,3.3810060277172473,8.706804983542705,82.99076834787653,456.0785824198827,6.743952490283306,3.844558977465577,-3.1253346201674166,2.7009943493868347,1.395131187565801,-9.449881587751655,-8.64261560643251,3.844558977465577,4.18512497518647,-0.021712927027641056,3.2405508013683577,1.911287009498919,-3.0459751607696584,33.74887135957654,-3.1253346201674166,-0.021712927027641056,13.205596888905523,-2.148319331560181,2.4418761852585136,0.11010141245521,93.60970051527947,2.7009943493868347,3.2405508013683577,-2.148319331560181,14.980999975935752,6.234125481548749,-2.1348412685569684,-66.89623957659373,1.395131187565801,1.911287009498919,2.4418761852585136,6.234125481548749,10.294251977528655,-7.352730936783804,21.490172577668993,-9.449881587751655,-3.0459751607696584,0.11010141245521,-2.1348412685569684,-7.352730936783804,37.84844041528627,63.786551362360804,-8.64261560643251,33.74887135957654,93.60970051527947,-66.89623957659373,21.490172577668993,63.786551362360804,3210.4875823911952
12,0,0.1077138639495793,0.06791684696320523,0.06578378933333301,0.09794495368677908,0.08030158663198263,0.5062813796409384,0.07405757979418218,15.128377367650662,6.188513663015081,82.88041193962553,0.9859629066670661,4.457452381839248,49.962572250375565,535.6617598416135,23.942737387990757,15.948947660401952,-16.176562479591258,-0.3023020331854365,0.30448419223022694,-41.74821649848256,-68.2606263523838,15.948947660401952,16.68555245416135,-4.932603611887616,0.9569374795916262,2.1578515818136967,-1.4103266137726949,-83.18805099721872,-16.176562479591258,-4.932603611887616,110.92986157227593,-5.480229751752045,-1.611831999109143,116.42472653533004,50.22864114946166,-0.3023020331854365,0.9569374795916262,-5.480229751752045,1.9879994304660802,1.6655293979544856,-1.912242681814393,-37.64526131381082,0.30448419223022694,2.1578515818136967,-1.611831999109143,1.6655293979544856,6.405642330141866,-4.841089376219685,-179.35757980817908,-41.74821649848256,-1.4103266137726949,116.42472653533004,-1.912242681814393,-4.841089376219685,459.4407490611927,371.5674577219101,-68.2606263523838,-83.18805099721872,50.22864114946166,-37.64526131381082,-179.35757980817908,371.5674577219101,8898.100678855137
