day,cluster0,cluster1,cluster2,cluster3,weighted_mean,max
64,0.9774226338383646,1.5957725012772355e-165,0.0225455880022282,3.1778159407196305e-05,0.04518651048267799,0
65,0.002369343746242823,4.2796283525645935e-228,0.9976306543446103,1.9091468631137728e-09,1.995261314416661,2
66,0.5863616358322697,1.9882461845547513e-37,8.222183338398012e-05,0.4135561423343463,1.2408328706698069,0
67,0.9997576676776001,2.148557508376227e-55,5.185197196794588e-09,0.0002423271372027174,0.0007269917820025458,0
68,0.9992853994766848,2.0616664861717783e-38,4.0433395021920444e-08,0.0007145600899201587,0.00214376113655052,0
69,0.9999169739086986,3.0181090996548055e-60,7.217871921149024e-08,8.295391258213829e-05,0.00024900609518483784,0
70,0.9999313997785374,1.8519708723915628e-59,3.855295824700829e-08,6.856166850436066e-05,0.00020576211142957597,0
71,0.999945646684993,3.3437501434068357e-50,3.3792360927810024e-08,5.4319522646109706e-05,0.00016302615266018474,0
72,0.9999267460719745,3.370673860928869e-55,1.2519331988189023e-06,7.200199482659896e-05,0.0002185098508774347,0
73,0.9999289087925782,1.1036475007277509e-73,2.212877906474162e-06,6.88783295152957e-05,0.00021106074435883542,0
74,0.9994330111025479,5.853786269526498e-109,1.699466663634164e-05,0.0005499942308158104,0.0016839720257201146,0
75,0.9999967851414014,2.2386116375067055e-99,3.2148585924802982e-06,6.05271287984777e-15,6.429717203118735e-06,0
76,0.9999989083763585,1.3144462357411335e-82,1.0915854904150419e-06,3.815111805363159e-11,2.1832854341842447e-06,0
77,0.999999893937328,2.4458400856806223e-60,1.0601695117599519e-07,4.572070276585726e-11,2.1217106446028797e-07,0
78,0.9999998997124372,2.2092879710955904e-48,9.639306695855341e-08,3.894495801046047e-09,2.0446962132024495e-07,0
79,0.999999923082663,2.5747762848401682e-48,4.7365305720255166e-08,2.9552031357117874e-08,1.8338670551186396e-07,0
80,0.9999999101301232,1.4070105607969976e-56,6.059286657475239e-08,2.9277010261922474e-08,2.090167639352722e-07,0
81,0.9999990970784369,2.5065782432058493e-38,5.741971284880134e-08,8.455018502439509e-07,2.6513449764294555e-06,0
82,0.9999946034404261,1.3033087809776022e-47,1.1116173820115033e-07,5.285397835703725e-06,1.6078516983513475e-05,0
83,0.9999974728338783,4.052197296957001e-54,9.811784944399954e-08,2.4290482722413605e-06,7.48338051561208e-06,0
84,0.9999993893071107,2.0820230948859748e-54,2.85779458395537e-07,3.2491343089285364e-07,1.5462992094696348e-06,0
85,0.9999929455394808,4.798020310394174e-86,7.053619655425776e-06,8.408637126125711e-10,1.410976190198939e-05,0
86,0.9999993504505227,8.761904634785819e-57,6.078445061903645e-07,4.1704971105332374e-08,1.3408039256967262e-06,0
87,0.999996544134735,1.1340095124369601e-74,2.3250521850016874e-06,1.1308130799127726e-06,8.042543609741692e-06,0
88,0.0,0.0,0.8559264034263171,0.14407359657368288,2.1440735965736826,2
89,0.0,0.0,1.0,1.7242096638959262e-29,2.0,2
90,0.022124129302849294,2.340956135610939e-101,0.977630138824736,0.0002457318724145192,1.9559974732667156,2
91,0.0,0.0,0.999437324742792,0.000562675257207922,2.000562675257208,2
92,5.509910298270846e-15,1.6076838031679086e-83,0.01859603810587863,0.9814039618941158,2.981403961894105,3
93,1.208493132385096e-66,4.475931290377207e-53,0.031077156186022855,0.9689228438139772,2.9689228438139774,3
