day,cluster,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
38,3,0.030068463023799737,0.028577616464387643,0.08019321073113488,0.051692777551620626,0.7906745968717044,0.01879333535735301,13.948671030973749,9.756120085674338,95.46742339444302,2.5967773572432935,6.373398186411995,85.14650677885037,466.78329540023975,2.5785868163491417,1.088596175664302,-1.1292574062277434,1.1090093756257835,1.0820975416100038,-3.0210542788541095,5.217209949575484,1.088596175664302,2.1194300304222273,1.3238986812605935,3.0131170625389236,2.3300928914608274,-0.9606979658650466,15.97991523715614,-1.1292574062277434,1.3238986812605935,9.125202904637167,-1.1182940904890017,2.163220443177758,-1.863685707214218,107.59198334221347,1.1090093756257835,3.0131170625389236,-1.1182940904890017,14.125681422600787,10.356875475394034,0.793622007582482,-56.877910978959896,1.0820975416100038,2.3300928914608274,2.163220443177758,10.356875475394034,15.89043332027117,2.1957628404096594,-16.728771637948874,-3.0210542788541095,-0.9606979658650466,-1.863685707214218,0.793622007582482,2.1957628404096594,16.872310951975006,-52.57901278492092,5.217209949575484,15.97991523715614,107.59198334221347,-56.877910978959896,-16.728771637948874,-52.57901278492092,1822.2168944466698
38,4,0.030068463023799737,0.028577616464387643,0.08019321073113488,0.051692777551620626,0.7906745968717044,0.01879333535735301,23.204313103708277,12.180956826243415,72.36321938061711,1.6767469681748217,2.766564879759945,28.386130321175067,516.3916228953037,75.98234193186106,54.69636932913448,-60.02558332353034,-8.135934752994183,-11.159987956507866,-101.56713841320823,91.27673422705305,54.69636932913448,50.18404715691319,-25.798649292810598,-0.4551135255911561,-1.9575132171854426,-23.0093035468413,1.5165958831632043,-60.02558332353034,-25.798649292810598,235.6929503118703,29.847078273746746,28.226553960091405,290.4564574867839,-321.13034402257836,-8.135934752994183,-0.4551135255911561,29.847078273746746,51.226504960702826,15.488702881202435,57.39158533860851,-74.29824147091809,-11.159987956507866,-1.9575132171854426,28.226553960091405,15.488702881202435,18.304788040411232,59.078007124614366,-71.73324082396672,-101.56713841320823,-23.0093035468413,290.4564574867839,57.39158533860851,59.078007124614366,679.5381226893664,-699.1407370723126,91.27673422705305,1.5165958831632043,-321.13034402257836,-74.29824147091809,-71.73324082396672,-699.1407370723126,1684.1727756376001
38,5,0.030068463023799737,0.028577616464387643,0.08019321073113488,0.051692777551620626,0.7906745968717044,0.01879333535735301,13.450532351264473,9.803845745332845,96.60049927363089,16.142226052387613,15.029320043750536,83.10873506800381,488.5058397004504,2.976902654264419,2.3708243565068274,-1.826950513725527,3.794399038804438,0.35246467984626856,-5.861415311366448,16.077035360914884,2.3708243565068274,3.0122881231777177,-0.011515341107703341,10.511972513773726,1.5478043352691744,2.8631266536808755,-3.397637662396531,-1.826950513725527,-0.011515341107703341,5.438046146079615,1.9942334711230014,1.6930817448542954,17.91716487554764,12.585074690042982,3.794399038804438,10.511972513773726,1.9942334711230014,229.7599441134707,12.53641742270287,41.0083689514834,-307.4203565398605,0.35246467984626856,1.5478043352691744,1.6930817448542954,12.53641742270287,5.254480243793036,14.479831912823649,-38.14256804221411,-5.861415311366448,2.8631266536808755,17.91716487554764,41.0083689514834,14.479831912823649,88.79117139196828,-54.95020623959078,16.077035360914884,-3.397637662396531,12.585074690042982,-307.4203565398605,-38.14256804221411,-54.95020623959078,1971.4223693960985
39,0,0.03013166521847775,0.047135919129373365,0.37858460193395194,0.057657972696629485,0.44950026481500355,0.036989576206563644,21.807755472039457,12.671486635590202,69.9538482721931,0.001999045549167969,1.895286755124249,22.30831211354947,419.8874877766438,54.062330164118,46.149749340264016,42.35410308150671,0.011831223872412294,2.370464511991083,-15.054659425125486,262.4575287101777,46.149749340264016,41.35787946235334,28.28793770784518,0.012076404519305105,2.9320748446347773,-11.148142600515706,294.01646683632106,42.35410308150671,28.28793770784518,113.4710621698572,0.010642404577856665,11.383867718576832,65.2515390056771,-480.4243255793754,0.011831223872412294,0.012076404519305105,0.010642404577856665,1.5808425406351115e-05,0.004547255387802818,0.026403223966360755,-0.027957928411662437,2.370464511991083,2.9320748446347773,11.383867718576832,0.004547255387802818,4.311233884719046,23.75109868786478,-62.0055416616698,-15.054659425125486,-11.148142600515706,65.2515390056771,0.026403223966360755,23.75109868786478,232.3324196258931,-1382.0961225067226,262.4575287101777,294.01646683632106,-480.4243255793754,-0.027957928411662437,-62.0055416616698,-1382.0961225067226,13250.536142112212
39,1,0.03013166521847775,0.047135919129373365,0.37858460193395194,0.057657972696629485,0.44950026481500355,0.036989576206563644,11.523143803294221,3.50731696271769,69.00466380455903,0.5535959075248011,1.6912054735176203,20.364131734284598,584.1751305276271,8.218199254644095,6.592939149810648,6.531363656137105,1.3646887347241428,3.715409967275696,11.552125687237156,-83.35181567164399,6.592939149810648,15.710869610348839,-21.24580291274681,1.8039226130247434,6.019009805189131,37.210480752284255,-386.4166005123565,6.531363656137105,-21.24580291274681,348.8156648208268,13.410975104943516,23.62081077164102,155.06984900086763,-358.01636469172456,1.3646887347241428,1.8039226130247434,13.410975104943516,1.8531869071499296,3.313982575401212,23.460156274200628,-136.0568020955923,3.715409967275696,6.019009805189131,23.62081077164102,3.313982575401212,8.553859225707656,48.216327532149364,-332.48633723110987,11.552125687237156,37.210480752284255,155.06984900086763,23.460156274200628,48.216327532149364,420.8392005509322,-2929.5369114771656,-83.35181567164399,-386.4166005123565,-358.01636469172456,-136.0568020955923,-332.48633723110987,-2929.5369114771656,26436.54409473207
39,2,0.03013166521847775,0.047135919129373365,0.37858460193395194,0.057657972696629485,0.44950026481500355,0.036989576206563644,25.720928139220202,14.022637741190527,76.20303631746073,0.02021465003123488,1.53003473307892,28.93410412346885,536.5197230325839,72.57850044548319,52.51714467311904,-85.31650888116808,-0.051502006285451665,-1.7529516718411418,-149.94864316568245,11.893651990462043,52.51714467311904,45.152916210148184,-54.00158376244597,-0.007574671421159573,1.40111013398858,-75.49889758115287,-38.859604521849896,-85.31650888116808,-54.00158376244597,147.785064262427,0.05755161683190084,2.9258665290833252,204.99898673888376,-49.09620334564297,-0.051502006285451665,-0.007574671421159573,0.05755161683190084,0.003146209952632913,0.1066472974970524,0.29658778037960565,-0.2717518716896568,-1.7529516718411418,1.40111013398858,2.9258665290833252,0.1066472974970524,7.35888069088314,17.85855060052171,-20.322915231030404,-149.94864316568245,-75.49889758115287,204.99898673888376,0.29658778037960565,17.85855060052171,660.4987524380919,-164.11739452731882,11.893651990462043,-38.859604521849896,-49.09620334564297,-0.2717518716896568,-20.322915231030404,-164.11739452731882,5936.582459893857
39,3,0.03013166521847775,0.047135919129373365,0.37858460193395194,0.057657972696629485,0.44950026481500355,0.036989576206563644,13.971136796468132,9.716678277553902,95.51134007835046,2.5312709787157277,6.3234947607342535,84.77782125268928,467.29921913806487,2.69223711372666,1.1265229195555675,-1.0030338737421616,0.9632342315856598,0.9078294969048183,-3.175470750692411,7.404582551805017,1.1265229195555675,2.136837496243077,1.2951732083787943,2.9201101614895455,2.1079376295743892,-0.7346355838493926,16.16207098925234,-1.0030338737421616,1.2951732083787943,8.637340951970957,-0.9253249584333719,2.232787012758316,-2.0441183767571873,100.08188913802142,0.9632342315856598,2.9201101614895455,-0.9253249584333719,13.721328968664256,10.362457295720535,1.375373140078582,-54.785083446919955,0.9078294969048183,2.1079376295743892,2.232787012758316,10.362457295720535,16.627665653944682,2.2951648686369954,-22.066025091014577,-3.175470750692411,-0.7346355838493926,-2.0441183767571873,1.375373140078582,2.2951648686369954,17.61177805494193,-55.29622868513827,7.404582551805017,16.16207098925234,100.08188913802142,-54.785083446919955,-22.066025091014577,-55.29622868513827,1722.884815357822
39,4,0.03013166521847775,0.047135919129373365,0.37858460193395194,0.057657972696629485,0.44950026481500355,0.036989576206563644,22.093863163871212,11.197582383383248,69.56108404037187,1.7625618951807251,3.355333027934552,27.403864382826825,517.308994332941,72.60478947979247,53.83372215717688,-57.28747791972276,-2.7107657904531046,-10.82173374381167,-76.34270348505984,75.46121428933525,53.83372215717688,53.293071382506895,-18.50358065417247,2.650840585366597,-0.17038308413369815,2.621855008191328,-21.448928806086794,-57.28747791972276,-18.50358065417247,263.47724025226034,29.612580576807133,40.36270227129381,329.1317275767168,-387.00823245731726,-2.7107657904531046,2.650840585366597,29.612580576807133,25.426858506364162,10.684569257761733,45.040860372560225,-46.26193699537039,-10.82173374381167,-0.17038308413369815,40.36270227129381,10.684569257761733,19.927661991078253,69.7891665106938,-85.90941768374225,-76.34270348505984,2.621855008191328,329.1317275767168,45.040860372560225,69.7891665106938,691.5312284863721,-762.3325555697144,75.46121428933525,-21.448928806086794,-387.00823245731726,-46.26193699537039,-85.90941768374225,-762.3325555697144,1748.1728563828906
39,5,0.03013166521847775,0.047135919129373365,0.37858460193395194,0.057657972696629485,0.44950026481500355,0.036989576206563644,13.575777581988588,9.558507782181442,95.88638057263043,22.16299963354751,14.888551348164258,79.78061451663626,477.5435452592428,4.987123928962907,4.480331608128652,-1.332282268168087,21.600747802375636,0.8713690742071416,-10.67489915070233,-13.39795744259099,4.480331608128652,5.246014487179262,0.635602486807127,24.29226324089437,1.716422661717562,-1.5224280514639,-22.011733014668994,-1.332282268168087,0.635602486807127,5.897824180541453,8.086003813863707,1.2419133398490867,17.53739709145331,14.357964161216913,21.600747802375636,24.29226324089437,8.086003813863707,564.620546915928,24.322226647305644,14.390162827816136,-550.6654284324383,0.8713690742071416,1.716422661717562,1.2419133398490867,24.322226647305644,4.875494153176756,11.431015547373724,-51.8403250652913,-10.67489915070233,-1.5224280514639,17.53739709145331,14.390162827816136,11.431015547373724,105.40144750948923,-6.805724690807322,-13.39795744259099,-22.011733014668994,14.357964161216913,-550.6654284324383,-51.8403250652913,-6.805724690807322,1961.0019710393371
40,0,0.030059981113127732,0.053772226917193106,0.5541036338229939,0.05216144317814652,0.26627860014656185,0.04362411482197682,21.786152024408914,12.653399965040194,69.9436709216481,0.001992017002107718,1.8958178622569823,22.312058045295164,419.8241759439826,53.98794429492114,46.09269620246403,42.36276029421126,0.011811966128304891,2.38686972114715,-15.019216215060466,262.40331679336447,46.09269620246403,41.316317155594504,28.27783668739198,0.012049566205355255,2.9430190928547497,-11.149302776110009,294.2462840805815,42.36276029421126,28.27783668739198,113.68623671769033,0.010631592983239,11.409452148237522,65.41041118795214,-481.83514136581664,0.011811966128304891,0.012049566205355255,0.010631592983239,1.5724542401219798e-05,0.004530209484274447,0.026258998261043037,-0.027466462151613087,2.38686972114715,2.9430190928547497,11.409452148237522,0.004530209484274447,4.311435118759418,23.74299018455388,-61.963770044298,-15.019216215060466,-11.149302776110009,65.41041118795214,0.026258998261043037,23.74299018455388,232.39920402328,-1383.606714067572,262.40331679336447,294.2462840805815,-481.83514136581664,-0.027466462151613087,-61.963770044298,-1383.606714067572,13272.760265705449
40,1,0.030059981113127732,0.053772226917193106,0.5541036338229939,0.05216144317814652,0.26627860014656185,0.04362411482197682,11.561133508955045,3.5235640228156266,69.68168063357905,0.502239785658174,1.503952389458606,20.17965191521146,580.4765400377152,7.4290450770816046,5.770118463425516,3.6758274749602973,1.03099324409591,3.020431575988992,7.655964344682485,-68.64186242209611,5.770118463425516,14.300768609004496,-21.52842679156054,1.3167576508794543,4.829791160049265,32.34867767432282,-346.2610666831402,3.6758274749602973,-21.52842679156054,315.91459690621843,11.776813122718078,21.95265643605846,132.45943733323315,-320.35832942111347,1.03099324409591,1.3167576508794543,11.776813122718078,1.6117447978443926,2.9216719020766826,20.263573908747855,-115.0293905841207,3.020431575988992,4.829791160049265,21.95265643605846,2.9216719020766826,7.599900228661333,43.37949545435363,-281.2118645657825,7.655964344682485,32.34867767432282,132.45943733323315,20.263573908747855,43.37949545435363,374.9099325087036,-2589.3389763310365,-68.64186242209611,-346.2610666831402,-320.35832942111347,-115.0293905841207,-281.2118645657825,-2589.3389763310365,23595.993054704697
40,2,0.030059981113127732,0.053772226917193106,0.5541036338229939,0.05216144317814652,0.26627860014656185,0.04362411482197682,25.910198273985333,13.83380541281734,73.81782854129716,0.012572927839869902,1.20050696188986,27.08945764669847,533.1895705879202,70.74446062940544,51.76340569366473,-87.5423031402969,-0.05374762281640179,-2.143419331827821,-132.09553735815783,44.306460717852204,51.76340569366473,45.77644503076292,-51.69400083127658,-0.024623119177253988,0.23548920840959894,-56.373020630945334,-12.788743394283303,-87.5423031402969,-51.69400083127658,186.72612238025837,0.08042790448849338,5.072514296861125,229.18930571772455,-112.49297447596494,-0.05374762281640179,-0.024623119177253988,0.08042790448849338,0.0015064607878677739,0.0663664451411424,0.20538050710918399,0.11467659623859383,-2.143419331827821,0.23548920840959894,5.072514296861125,0.0663664451411424,5.67317953774779,13.965285934787854,-7.7452698927876815,-132.09553735815783,-56.373020630945334,229.18930571772455,0.20538050710918399,13.965285934787854,645.0273751465602,-300.18079887179545,44.306460717852204,-12.788743394283303,-112.49297447596494,0.11467659623859383,-7.7452698927876815,-300.18079887179545,4403.29622948793
40,3,0.030059981113127732,0.053772226917193106,0.5541036338229939,0.05216144317814652,0.26627860014656185,0.04362411482197682,13.962226175695886,9.73944380394338,95.49865350559622,2.8487245630508915,6.940644756626475,85.08254216451132,464.7981977734841,2.598424852219717,1.1295474346272265,-0.9800357386518808,1.2061155199367104,1.4213576604989886,-2.702229894550036,5.312650499750768,1.1295474346272265,2.295927059364714,1.5132377251294844,3.194721939634512,2.3513799693119926,-0.5683940572153706,17.394480002839682,-0.9800357386518808,1.5132377251294844,9.359049287991423,-0.8652749199199147,2.6322968454389173,-2.4086996293870344,108.02453084539809,1.2061155199367104,3.194721939634512,-0.8652749199199147,14.371499478601278,9.987078708924097,0.3197122446200969,-53.576609687043316,1.4213576604989886,2.3513799693119926,2.6322968454389173,9.987078708924097,15.323432812901938,-0.18904798919613836,-9.826963395207276,-2.702229894550036,-0.5683940572153706,-2.4086996293870344,0.3197122446200969,-0.18904798919613836,16.46368798917823,-46.2963724725637,5.312650499750768,17.394480002839682,108.02453084539809,-53.576609687043316,-9.826963395207276,-46.2963724725637,1782.9811810172798
40,4,0.030059981113127732,0.053772226917193106,0.5541036338229939,0.05216144317814652,0.26627860014656185,0.04362411482197682,19.618323194894575,9.963110605076027,69.94010291705605,2.7482397389221145,5.040963315539804,30.606842199691208,510.59987569497724,57.478511703758386,45.90232365682284,-31.582803785154294,4.558302303235304,-2.968941850955306,-51.19903396588602,18.057936680706106,45.90232365682284,52.33736200817913,5.999203594239494,9.015525855638357,7.91258883048777,25.81971358022311,-74.14215902725581,-31.582803785154294,5.999203594239494,287.4995673326587,43.06706124123219,55.75591818136139,392.66495808674046,-454.1307752310425,4.558302303235304,9.015525855638357,43.06706124123219,37.9179175089851,11.638849252790312,58.40907490433914,-56.864006247750716,-2.968941850955306,7.91258883048777,55.75591818136139,11.638849252790312,22.128033156249803,90.69755794505092,-115.35236425994562,-51.19903396588602,25.81971358022311,392.66495808674046,58.40907490433914,90.69755794505092,777.5680686629087,-819.5328414939993,18.057936680706106,-74.14215902725581,-454.1307752310425,-56.864006247750716,-115.35236425994562,-819.5328414939993,2079.9015198350153
40,5,0.030059981113127732,0.053772226917193106,0.5541036338229939,0.05216144317814652,0.26627860014656185,0.04362411482197682,13.547291372696085,9.32590640976587,95.6847147712085,20.11280341501796,14.492382263493253,77.6896130728499,480.5087547204695,5.461597925922049,5.119444130799279,-1.5621538913195872,16.92624653118215,1.4489314377994746,-9.916761864211706,-17.638252602389525,5.119444130799279,6.215259225102636,0.4356663399436288,21.283037725387544,2.7472464858983785,0.8284263427663571,-29.828123638421562,-1.5621538913195872,0.4356663399436288,6.46230896140951,9.852031233120437,1.6170309570710735,19.381230173397295,11.48755349885027,16.92624653118215,21.283037725387544,9.852031233120437,506.9400936340796,23.8450964112178,36.77485348778305,-495.1966133453601,1.4489314377994746,2.7472464858983785,1.6170309570710735,23.8450964112178,6.129069634826652,15.083803049437845,-59.821656333837225,-9.916761864211706,0.8284263427663571,19.381230173397295,36.77485348778305,15.083803049437845,120.22117668439003,-44.38666339676151,-17.638252602389525,-29.828123638421562,11.48755349885027,-495.1966133453601,-59.821656333837225,-44.38666339676151,1841.1291726980494
41,0,0.030031162481327128,0.055115813279197526,0.6206743558808946,0.046736862396318885,0.2003474493376065,0.04709435662465612,21.776996079837243,12.646239466922095,69.9418067981712,0.001994228136901759,1.897637898091902,22.324412914499685,419.7607264871521,53.947210024135344,46.0659176493537,42.37846385606646,0.011844441341719657,2.4077259169205316,-14.911263797242684,262.0764232234796,46.0659176493537,41.30117282033694,28.287326902141366,0.012078120763423203,2.9602636217829783,-11.064265267908954,294.0704483537139,42.37846385606646,28.287326902141366,113.7844800242446,0.010647896651170918,11.425596889374324,65.5004650321235,-482.38702627118545,0.011844441341719657,0.012078120763423203,0.010647896651170918,1.5739003328332794e-05,0.004531608440856262,0.02626360451377158,-0.027371651660176667,2.4077259169205316,2.9602636217829783,11.425596889374324,0.004531608440856262,4.312120442769803,23.741553277123877,-61.901416615241516,-14.911263797242684,-11.064265267908954,65.5004650321235,0.02626360451377158,23.741553277123877,232.45927407500943,-1384.1375257528396,262.0764232234796,294.0704483537139,-482.38702627118545,-0.027371651660176667,-61.901416615241516,-1384.1375257528396,13281.628560523874
41,1,0.030031162481327128,0.055115813279197526,0.6206743558808946,0.046736862396318885,0.2003474493376065,0.04709435662465612,11.74342020708625,3.7564017569979957,69.80444117303885,0.5426556215184595,1.6252987208764451,20.879922039403013,577.8838279253616,7.40829191275132,5.588878057031593,4.398551189426314,0.9714319077671314,2.942469927303046,6.348011816795539,-71.16493683816864,5.588878057031593,13.721102459553638,-20.27838394877139,1.173932293893533,4.515404117372897,29.26248534836931,-340.8480817307658,4.398551189426314,-20.27838394877139,322.76637372852485,12.619710992326059,24.37430026922035,148.4267176598226,-337.16302954812556,0.9714319077671314,1.173932293893533,12.619710992326059,1.6521950194163941,2.9294194087845384,20.702578613182137,-114.18547398261963,2.942469927303046,4.515404117372897,24.37430026922035,2.9294194087845384,7.654327986768389,44.22375833303306,-279.28264530006,6.348011816795539,29.26248534836931,148.4267176598226,20.702578613182137,44.22375833303306,375.9705440530636,-2537.089513873381,-71.16493683816864,-340.8480817307658,-337.16302954812556,-114.18547398261963,-279.28264530006,-2537.089513873381,23102.620507079188
