day,cluster,cluster0,cluster1,cluster2,cluster3,cluster4,temp_mu,windspeed_mu,precip_mu,cloudcover_mu,visibility_mu,sealevelpressure_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
116,4,0.2183894170653178,0.01643826264615201,0.05644152945014354,0.5188280133009935,0.18990277753739312,8.547153137933439,7.8247033432776725,0.3488910965735232,39.223208544330994,9.761913485193402,1021.9561891439172,538.7975758790657,8.33932720039735,5.227091222522302,0.1660515556952816,59.18228725793967,-0.16146743800046912,-4.626284888770173,-140.12765040938922,5.227091222522302,12.021555641171213,0.049060780887690815,9.01802162032346,0.13916970555948746,-8.082882650110976,-140.31926069468503,0.1660515556952816,0.049060780887690815,0.8051823106988515,9.124629592726498,-0.3220085145618838,-1.904462568243718,-36.87936006781716,59.18228725793967,9.01802162032346,9.124629592726498,1070.4258417781004,-8.10620569412677,-60.28494066918455,-892.0920435342406,-0.16146743800046912,0.13916970555948746,-0.3220085145618838,-8.10620569412677,0.20070176260428643,0.9202059026204136,10.946303218976144,-4.626284888770173,-8.082882650110976,-1.904462568243718,-60.28494066918455,0.9202059026204136,45.71964812334672,152.88605250085112,-140.12765040938922,-140.31926069468503,-36.87936006781716,-892.0920435342406,10.946303218976144,152.88605250085112,12462.961629824164
117,0,0.3774016127966921,0.03643301364108405,0.05867518142583164,0.30312266297175267,0.22436752916463967,21.72937531177256,18.751669674762464,0.5614839033378333,27.833379155746734,9.966841934407721,1013.8349197562561,514.8605666160705,46.2542107203679,11.21019977334445,-4.829447504631607,-128.2248693463011,0.2903506515959813,10.44271737147474,130.66708029760258,11.21019977334445,45.898071896784764,0.5171884100104173,-28.488646232179185,0.043582733367890036,-5.032383268037221,27.969329885936567,-4.829447504631607,0.5171884100104173,4.084574121210079,24.393716562049708,-0.19042315582519978,-4.856704720959792,-42.88913507954684,-128.2248693463011,-28.488646232179185,24.393716562049708,666.1210813693665,-1.4674999562502917,-74.69326616374455,-857.4952738836814,0.2903506515959813,0.043582733367890036,-0.19042315582519978,-1.4674999562502917,0.012552527267782578,0.2940623035100586,2.3956503296289466,10.44271737147474,-5.032383268037221,-4.856704720959792,-74.69326616374455,0.2940623035100586,28.451262769063348,124.89977916397883,130.66708029760258,27.969329885936567,-42.88913507954684,-857.4952738836814,2.3956503296289466,124.89977916397883,1822.5053903033017
117,1,0.3774016127966921,0.03643301364108405,0.05867518142583164,0.30312266297175267,0.22436752916463967,9.157439168618497,7.8220040051389645,5.558365213734682,36.16554160579601,8.67303072499822,1018.3475247359913,593.6833603810893,25.846894673955042,11.049320240515144,18.19878053677513,25.068969275729827,3.024459707123982,-11.4321991554385,-1.0143695880487675,11.049320240515144,26.497274757700414,34.00056496091992,93.85340067661029,2.0070800549369245,-39.70062684735649,-461.09160499813345,18.19878053677513,34.00056496091992,70.93785519915248,161.79457286351047,3.1208301594786563,-64.44004011798151,-596.073488697044,25.068969275729827,93.85340067661029,161.79457286351047,536.51472513334,-0.8789857577581144,-225.52544021405564,-2537.084743753897,3.024459707123982,2.0070800549369245,3.1208301594786563,-0.8789857577581144,1.4400045134907162,-0.7913706948979483,42.47072401321058,-11.4321991554385,-39.70062684735649,-64.44004011798151,-225.52544021405564,-0.7913706948979483,105.53085499939922,985.5627236433821,-1.0143695880487675,-461.09160499813345,-596.073488697044,-2537.084743753897,42.47072401321058,985.5627236433821,15550.427526627687
117,2,0.3774016127966921,0.03643301364108405,0.05867518142583164,0.30312266297175267,0.22436752916463967,12.546987928894085,10.62532561849963,15.999068531764983,79.06747678378838,6.690848869867086,1011.5414825207645,489.8267176222061,9.981743286909092,4.481181446057288,21.116224194927238,-39.67394272538145,3.08921535887363,-0.9510468280420221,27.91450099283215,4.481181446057288,20.771435544942893,48.059331093696464,-8.81911905135049,4.115438622872311,-23.078982724386318,-3.5843937207327645,21.116224194927238,48.059331093696464,473.5698034836242,-63.094702959384364,21.17086702953136,-121.0439833043431,-332.2231729157401,-39.67394272538145,-8.81911905135049,-63.094702959384364,248.3130890422869,-15.211867224546214,-4.4617356642517985,-135.31323962171382,3.08921535887363,4.115438622872311,21.17086702953136,-15.211867224546214,3.631350809732661,-3.5004926792306534,1.8976761502797097,-0.9510468280420221,-23.078982724386318,-121.0439833043431,-4.4617356642517985,-3.5004926792306534,113.69555694717222,124.7933472574808,27.91450099283215,-3.5843937207327645,-332.2231729157401,-135.31323962171382,1.8976761502797097,124.7933472574808,1000.094164651884
117,3,0.3774016127966921,0.03643301364108405,0.05867518142583164,0.30312266297175267,0.22436752916463967,18.456089628031457,16.992551802554445,1.2686717386814241,25.243841024859666,9.856321447890751,1018.9753124245354,518.7381958022144,40.49889882127889,11.435433638495166,-1.8620291973626262,-34.663935384540856,0.8927182866421863,-20.300244757082773,97.94680904775201,11.435433638495166,57.46889237093104,4.5054158306274985,-52.131155247636755,0.899612149575488,-10.455504605389185,82.88892929255245,-1.8620291973626262,4.5054158306274985,14.39735713451904,34.00360175075074,-0.23430958732986198,-8.298637254778793,-57.731919195175394,-34.663935384540856,-52.131155247636755,34.00360175075074,604.9035150964056,-4.24447121773676,-27.237400527249854,-706.5265921651251,0.8927182866421863,0.899612149575488,-0.23430958732986198,-4.24447121773676,0.1419462821979032,-0.18930532511757422,6.785066063985675,-20.300244757082773,-10.455504605389185,-8.298637254778793,-27.237400527249854,-0.18930532511757422,39.198534036755774,11.346720316490096,97.94680904775201,82.88892929255245,-57.731919195175394,-706.5265921651251,6.785066063985675,11.346720316490096,5621.52769522943
117,4,0.3774016127966921,0.03643301364108405,0.05867518142583164,0.30312266297175267,0.22436752916463967,8.824544670861686,8.289989075206174,0.24113590106716726,38.46379638568758,9.809271877305415,1021.9079121299665,528.253705265266,8.929573907585587,5.496612788214397,0.06720702261922447,53.55907741452358,-0.08792531679452913,-3.5580286920693056,-109.7536809947725,5.496612788214397,15.029828748104677,-0.08204431180457597,-3.227490739977485,0.21126012485896312,-7.8502368335237245,-122.06435052381637,0.06720702261922447,-0.08204431180457597,0.4556983334258319,6.141327023345437,-0.2086564300560187,-1.0364038617962976,-18.924303056303696,53.55907741452358,-3.227490739977485,6.141327023345437,1028.2963608455725,-6.648949557144065,-50.351102105096274,-692.1223281636159,-0.08792531679452913,0.21126012485896312,-0.2086564300560187,-6.648949557144065,0.15624314506371262,0.6221957926481492,4.660774338653374,-3.5580286920693056,-7.8502368335237245,-1.0364038617962976,-50.351102105096274,0.6221957926481492,41.51757003596117,104.86166089153058,-109.7536809947725,-122.06435052381637,-18.924303056303696,-692.1223281636159,4.660774338653374,104.86166089153058,10634.506647303431
118,0,0.4764127214492018,0.03211397476936502,0.064080982956524,0.18215411064895948,0.24523821017594977,22.009256168041837,18.3001760590062,0.2298563512108247,23.967808529181102,9.989525474262026,1015.0107658645427,520.5665721465357,39.13866960347618,11.036651154511471,-1.5051944069759802,-86.03904219712442,0.07190565960958749,1.5856379946470114,68.6589739253022,11.036651154511471,42.867332518069794,-0.28404315399085683,-28.609482327596755,0.037923903444680045,-7.048012839977863,29.655355007064742,-1.5051944069759802,-0.28404315399085683,0.8231590154927437,8.209625193933418,-0.036778740864950386,-1.6722905634226868,-12.9197177526346,-86.03904219712442,-28.609482327596755,8.209625193933418,537.516566083243,-0.43085559103677373,-45.31814427163016,-659.6920333756842,0.07190565960958749,0.037923903444680045,-0.036778740864950386,-0.43085559103677373,0.0024325840465178653,0.08912373937226536,0.7228635053646854,1.5856379946470114,-7.048012839977863,-1.6722905634226868,-45.31814427163016,0.08912373937226536,24.374431030006505,88.067319186876,68.6589739253022,29.655355007064742,-12.9197177526346,-659.6920333756842,0.7228635053646854,88.067319186876,1680.3812906601258
118,1,0.4764127214492018,0.03211397476936502,0.064080982956524,0.18215411064895948,0.24523821017594977,9.365909338736339,8.078982248754711,5.408834818992303,37.89681857545919,8.502950825996605,1017.4301218778165,581.5006838409525,22.574925777632405,7.08328575689646,11.288594526931714,2.1447531069063746,3.7435666048347125,-3.3757750166981815,119.04610815168604,7.08328575689646,25.464420646333412,31.022172770129362,84.33240926680845,2.651212748912586,-36.72924576639526,-420.38935804060884,11.288594526931714,31.022172770129362,63.32454206542485,148.69938616141272,3.3454997197699146,-61.994493050323825,-545.0282347476009,2.1447531069063746,84.33240926680845,148.69938616141272,495.0169556760825,1.5128052004312562,-212.0486683390202,-2328.450133337183,3.7435666048347125,2.651212748912586,3.3454997197699146,1.5128052004312562,1.3901632512803674,-2.229743496821324,30.69214212354179,-3.3757750166981815,-36.72924576639526,-61.994493050323825,-212.0486683390202,-2.229743496821324,101.80656984527965,893.7820462616078,119.04610815168604,-420.38935804060884,-545.0282347476009,-2328.450133337183,30.69214212354179,893.7820462616078,14757.318861840118
118,2,0.4764127214492018,0.03211397476936502,0.064080982956524,0.18215411064895948,0.24523821017594977,12.859905722260873,11.043467204835236,16.191462905237618,76.8587101477567,6.9384854118478545,1011.4486435829604,493.6340619504745,11.48028463663215,5.816514399904317,22.47327714091186,-47.51610409365778,3.8007074118341424,-1.8401362189928832,43.39021756065327,5.816514399904317,22.939290366346604,46.99327518556944,-19.192753925913017,5.070747746074944,-24.028056316041766,23.121446082293357,22.47327714091186,46.99327518556944,443.03061448017843,-68.30549176953019,20.303024941414918,-114.25723063984077,-285.2389494346868,-47.51610409365778,-19.192753925913017,-68.30549176953019,300.8788180821037,-20.193234973183976,0.2822002266733821,-242.40451647776675,3.8007074118341424,5.070747746074944,20.303024941414918,-20.193234973183976,4.016879575877119,-3.7000092375068645,12.983004070886205,-1.8401362189928832,-24.028056316041766,-114.25723063984077,0.2822002266733821,-3.7000092375068645,107.31282510032167,99.78987285931262,43.39021756065327,23.121446082293357,-285.2389494346868,-242.40451647776675,12.983004070886205,99.78987285931262,1146.083586703772
118,3,0.4764127214492018,0.03211397476936502,0.064080982956524,0.18215411064895948,0.24523821017594977,16.58420710828072,17.44810928972001,2.3201658577762534,32.11084145777126,9.72977926937778,1019.1360822923125,506.7441748568767,41.20772629323078,12.14927168854429,-3.267312453632299,-46.28944408634525,1.2311824846078738,-16.447133174996992,187.18751971317346,12.14927168854429,77.03813726030822,8.627945157676562,-49.37810925695506,1.5474965434357713,-14.614922508627673,105.4521667803534,-3.267312453632299,8.627945157676562,19.233030975148594,68.2557490368915,-0.41219518776543707,-18.56549876225551,-149.38607654079618,-46.28944408634525,-49.37810925695506,68.2557490368915,792.41619492264,-7.126222888570087,-98.45349827366881,-1063.0116069503988,1.2311824846078738,1.5474965434357713,-0.41219518776543707,-7.126222888570087,0.22585621887237706,0.19710577106571822,13.5117682637223,-16.447133174996992,-14.614922508627673,-18.56549876225551,-98.45349827366881,0.19710577106571822,62.1771187201092,91.53960818673315,187.18751971317346,105.4521667803534,-149.38607654079618,-1063.0116069503988,13.5117682637223,91.53960818673315,8645.205478053675
118,4,0.4764127214492018,0.03211397476936502,0.064080982956524,0.18215411064895948,0.24523821017594977,9.026767912461729,8.695049628496504,0.19747785486192082,38.058497643721786,9.82508115167764,1021.6272165548169,529.3910336975573,10.556303230871094,7.492224992162279,0.10607842679940477,51.81590528242725,-0.06565417825944533,-4.752611070275284,-127.96264292199237,7.492224992162279,18.766473154384204,0.047902884033013626,-6.040563028360341,0.19782917013726917,-10.202169077266015,-144.74618425100786,0.10607842679940477,0.047902884033013626,0.2868543541784235,4.9315587796905325,-0.15117600365704084,-1.0625114322735076,-11.281642455898686,51.81590528242725,-6.040563028360341,4.9315587796905325,1038.020437108186,-5.990793126749785,-62.71529417942459,-783.335415255397,-0.06565417825944533,0.19782917013726917,-0.15117600365704084,-5.990793126749785,0.130740075481034,0.6233536711428798,2.6168264088921864,-4.752611070275284,-10.202169077266015,-1.0625114322735076,-62.71529417942459,0.6233536711428798,47.30423948514331,147.48249731546488,-127.96264292199237,-144.74618425100786,-11.281642455898686,-783.335415255397,2.6168264088921864,147.48249731546488,10347.414772996817
119,0,0.536868289227867,0.03048961784693018,0.06450675740498893,0.145348074205448,0.22278726131476573,21.431967975044316,17.842601618072873,0.09511151094946375,23.385809662902265,9.997177547678236,1015.8814089836831,521.487801973445,40.92527462845557,13.30582603037707,-0.3505283301273618,-70.16125807692579,0.017110418609540552,-4.664143891169628,38.411236300681495,13.30582603037707,45.28569769231865,0.06078144024284901,-32.55334580058847,0.005074872200352957,-10.685631277818572,25.31831604661426,-0.3505283301273618,0.06078144024284901,0.12670543637143436,2.43592927743095,-0.005216922261489677,-0.34679093358234636,-3.300811739869725,-70.16125807692579,-32.55334580058847,2.43592927743095,510.6454496380266,-0.12401771677830095,-28.459167888888235,-583.1053182427416,0.017110418609540552,0.005074872200352957,-0.005216922261489677,-0.12401771677830095,0.00040181996666927206,0.01872219019202519,0.19980227346523874,-4.664143891169628,-10.685631277818572,-0.34679093358234636,-28.459167888888235,0.01872219019202519,24.374392331464882,69.02945934014213,38.411236300681495,25.31831604661426,-3.300811739869725,-583.1053182427416,0.19980227346523874,69.02945934014213,1716.1798581083497
119,1,0.536868289227867,0.03048961784693018,0.06450675740498893,0.145348074205448,0.22278726131476573,9.162952142300293,7.921432980380706,4.816239767264004,37.43318765479,8.429925829339933,1017.445674043486,581.1595301775978,20.567897806460316,4.950425947714393,5.350987476177421,-8.711656676484331,3.6489143852544172,-0.4768793233587675,160.62513368915432,4.950425947714393,24.75355874012993,27.5199073780561,79.74859028920054,2.5703028784850357,-36.02999405416234,-412.1529222913427,5.350987476177421,27.5199073780561,52.24499033475618,135.12693480753666,2.6559864575140493,-59.86930082293414,-514.3216682359025,-8.711656676484331,79.74859028920054,135.12693480753666,479.27723703262353,0.9746455206334685,-210.03705726363947,-2297.066240236943,3.6489143852544172,2.5703028784850357,2.6559864575140493,0.9746455206334685,1.356888601004023,-2.3607139678469857,31.457729922909706,-0.4768793233587675,-36.02999405416234,-59.86930082293414,-210.03705726363947,-2.3607139678469857,102.46098002738577,884.8129584186553,160.62513368915432,-412.1529222913427,-514.3216682359025,-2297.066240236943,31.457729922909706,884.8129584186553,14855.970165128452
119,2,0.536868289227867,0.03048961784693018,0.06450675740498893,0.145348074205448,0.22278726131476573,13.014592111917286,11.118147205173344,16.49262691164376,76.79164772428247,6.981032280957537,1011.2130004777971,493.73714407551785,11.322917822969615,5.870887534992848,22.041515502103227,-48.843091439631706,4.092186105041574,-0.8216482263449653,45.29050062525675,5.870887534992848,22.57704214941858,46.72931807372267,-21.189959687362975,5.181877645028035,-22.924157802388265,25.68417307319763,22.041515502103227,46.72931807372267,438.8626298094875,-72.29468723630033,20.70803449606189,-110.10433813055701,-276.0320904250237,-48.843091439631706,-21.189959687362975,-72.29468723630033,298.3542322376016,-20.527209118614646,2.897255212720448,-246.48856266780763,4.092186105041574,5.181877645028035,20.70803449606189,-20.527209118614646,4.142132128440362,-4.051063697946692,13.381604710936502,-0.8216482263449653,-22.924157802388265,-110.10433813055701,2.897255212720448,-4.051063697946692,104.37995286168625,99.25508825553989,45.29050062525675,25.68417307319763,-276.0320904250237,-246.48856266780763,13.381604710936502,99.25508825553989,1160.5930224918145
119,3,0.536868289227867,0.03048961784693018,0.06450675740498893,0.145348074205448,0.22278726131476573,15.338052697380345,17.280781678589808,3.465030792396452,41.25985097337022,9.551621260720632,1017.3983714184241,495.91950197967543,45.83705401848548,20.98451850691684,-2.2944124009085605,-76.63571563230732,1.6719441880401238,-14.984923879483862,295.3376870470169,20.98451850691684,87.15468066510506,9.152606844896619,-76.60835523063818,2.86282918932537,-9.405297664049167,176.16039501227525,-2.2944124009085605,9.152606844896619,21.65957673234072,75.47528468670592,-0.10318746871164293,-23.73604311207617,-183.5585313597434,-76.63571563230732,-76.60835523063818,75.47528468670592,929.4356661332295,-10.06412025927983,-158.9413388871502,-1349.6456093152217,1.6719441880401238,2.86282918932537,-0.10318746871164293,-10.06412025927983,0.3407570370927265,0.19214501145118248,19.595837761798464,-14.984923879483862,-9.405297664049167,-23.73604311207617,-158.9413388871502,0.19214501145118248,86.51492405366113,148.45610573608764,295.3376870470169,176.16039501227525,-183.5585313597434,-1349.6456093152217,19.595837761798464,148.45610573608764,10187.780410441088
119,4,0.536868289227867,0.03048961784693018,0.06450675740498893,0.145348074205448,0.22278726131476573,8.934653833756798,8.737447281895856,0.11849105318816047,36.34069712816048,9.856056348618921,1022.1016931508382,533.3514676060169,10.864221938900531,8.059654806378603,0.14634105655844828,51.655176325805286,-0.0719868250591428,-4.168540003423602,-138.83937524665353,8.059654806378603,19.718609984820237,0.2847161674847161,-5.340686316964142,0.1203491235659457,-10.044368067076883,-170.69440495017832,0.14634105655844828,0.2847161674847161,0.08295550533415103,2.0506863169502205,-0.037756812088721385,-0.6764569566329798,-4.826369202291703,51.655176325805286,-5.340686316964142,2.0506863169502205,1032.603438420881,-4.447600691958237,-55.8388070941391,-698.7462268563717,-0.0719868250591428,0.1203491235659457,-0.037756812088721385,-4.447600691958237,0.06564315462571436,0.3356423615690222,-1.6871343035647877,-4.168540003423602,-10.044368067076883,-0.6764569566329798,-55.8388070941391,0.3356423615690222,46.93007331149433,132.62516442995292,-138.83937524665353,-170.69440495017832,-4.826369202291703,-698.7462268563717,-1.6871343035647877,132.62516442995292,11070.538909544357
120,0,0.5805059354780949,0.029889281619170243,0.06446320155634429,0.14881491055274332,0.17632667079364722,20.601228283554555,17.398547462213706,0.039007734426522445,22.35349191121798,9.999979299116184,1016.6167375491552,522.0251814332036,47.604166630287956,17.078018889589863,-0.049358549705317424,-58.1417952447554,-9.312283653109625e-05,-11.119387264240109,27.72922034262406,17.078018889589863,47.57134137689622,0.018973940274095415,-35.981224052922926,-0.00010353426389361795,-11.736124366950328,28.57092389192659,-0.049358549705317424,0.018973940274095415,0.015299855731822208,0.5158630964520038,-3.914548494237977e-05,-0.11259375103269174,-0.472155369598006,-58.1417952447554,-35.981224052922926,0.5158630964520038,491.09300214273986,-0.0007524149493157173,-23.542362942069882,-516.9212926750362,-9.312283653109625e-05,-0.00010353426389361795,-3.914548494237977e-05,-0.0007524149493157173,2.0696598547278665e-06,0.00015974326141569332,0.0021927483063732974,-11.119387264240109,-11.736124366950328,-0.11259375103269174,-23.542362942069882,0.00015974326141569332,28.855150097718635,54.76192707196774,27.72922034262406,28.57092389192659,-0.472155369598006,-516.9212926750362,0.0021927483063732974,54.76192707196774,1718.9869626255877
