day,cluster,cluster0,cluster1,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
6,1,0.2433279638183876,0.7566720361816127,23.73562492937391,12.215801721076632,70.6722529255722,0.01257537267848229,1.1499932528068946,24.188446563787668,533.092157887858,79.19989600434498,59.09272606980458,-50.016134102289364,-0.032643457275826536,-0.40210776668398185,-82.34517151745607,-0.8748610285507492,59.09272606980458,54.49197661725249,-25.059530542754747,-0.005760956755020163,1.8137188810708156,-18.12358015299252,-66.59902582868426,-50.016134102289364,-25.059530542754747,223.19733211921536,0.01178013866946013,3.89764735219315,243.1492919445139,-121.5906423136985,-0.032643457275826536,-0.005760956755020163,0.01178013866946013,0.001610354421170345,0.05839351846742259,0.09978087438209947,0.008907227257434418,-0.40210776668398185,1.8137188810708156,3.89764735219315,0.05839351846742259,5.104503008310141,10.429777621331962,-21.26145287267835,-82.34517151745607,-18.12358015299252,243.1492919445139,0.09978087438209947,10.429777621331962,614.6597904879363,-478.4345385457886,-0.8748610285507492,-66.59902582868426,-121.5906423136985,0.008907227257434418,-21.26145287267835,-478.4345385457886,5918.930481749762
7,0,0.25572371911056546,0.7442762808894348,17.710946050512664,10.783205295070609,85.65466657429056,6.9811698686909605,9.176396769950816,58.0600847238769,485.01715420047276,51.645204184808605,37.093143891559265,-51.199843001037124,-3.4914890763509723,-8.421244963082342,-109.48142981875255,87.65018002878416,37.093143891559265,33.51710875984076,-21.680916628902644,5.280639246970064,-0.7027994034907867,-40.19058966563384,23.788521408186472,-51.199843001037124,-21.680916628902644,158.7718704251779,42.48303001903125,26.6875049726401,269.57975790290436,-285.50986236936984,-3.4914890763509723,5.280639246970064,42.48303001903125,159.0783847250854,23.15426332163731,72.20273232114941,-121.89988131946359,-8.421244963082342,-0.7027994034907867,26.6875049726401,23.15426332163731,16.61157071872212,57.801756491506055,-51.095121395420314,-109.48142981875255,-40.19058966563384,269.57975790290436,72.20273232114941,57.801756491506055,694.9208680937417,-603.1063619880025,87.65018002878416,23.788521408186472,-285.50986236936984,-121.89988131946359,-51.095121395420314,-603.1063619880025,3633.1864403769337
7,1,0.25572371911056546,0.7442762808894348,23.7110919545548,12.153406697083353,70.70936469756629,0.008836335195506112,1.0654566706902278,24.04476312530383,532.6159858784472,79.461235632114,58.876282785096684,-50.89287481011747,-0.038499557480703564,-0.6065474753318275,-84.500554454009,-6.5101520364822845,58.876282785096684,53.95684209273911,-25.351616932322877,-0.019760835990532823,1.437655690057864,-19.188151715322356,-74.3299950355381,-50.89287481011747,-25.351616932322877,226.1604662877393,0.01814429318117017,4.253546164237411,247.14918475929866,-124.8450478607135,-0.038499557480703564,-0.019760835990532823,0.01814429318117017,0.0006958716684606432,0.03915044767144441,0.060782330571814966,-0.17578043714169278,-0.6065474753318275,1.437655690057864,4.253546164237411,0.03915044767144441,4.681185570927458,9.9645716060787,-26.300074025472313,-84.500554454009,-19.188151715322356,247.14918475929866,0.060782330571814966,9.9645716060787,620.0514996394642,-511.77197084935534,-6.5101520364822845,-74.3299950355381,-124.8450478607135,-0.17578043714169278,-26.300074025472313,-511.77197084935534,5803.68840802454
8,0,0.26449863192584283,0.7355013680741571,17.79413494612924,10.851853236625846,85.38363077618757,6.7519971245921235,9.108759914056154,57.582747146567826,486.67193538141913,53.43345032017425,38.82987787938405,-52.38799834748303,-3.9452043657504783,-8.133565515126223,-112.339140876705,104.6217196443507,38.82987787938405,35.30874985973912,-23.393903102203545,4.633054874315783,-0.5196274863195747,-42.90401625375447,38.2080035612858,-52.38799834748303,-23.393903102203545,161.08464677142402,42.89451997529967,26.54038988078138,273.29621190938565,-291.80952317073036,-3.9452043657504783,4.633054874315783,42.89451997529967,155.33153487955371,22.83622666177798,73.01490386656455,-128.97517875377096,-8.133565515126223,-0.5196274863195747,26.54038988078138,22.83622666177798,16.310067849743458,57.36345024697649,-51.102719023856885,-112.339140876705,-42.90401625375447,273.29621190938565,73.01490386656455,57.36345024697649,703.9183603198766,-617.1095273904295,104.6217196443507,38.2080035612858,-291.80952317073036,-128.97517875377096,-51.102719023856885,-617.1095273904295,3884.7935277451793
8,1,0.26449863192584283,0.7355013680741571,23.75276068480495,12.14506695898072,70.62852851459523,0.008067143442532084,0.9930122964417315,23.810601296758197,532.58877755324,79.07526966918341,58.60093283498526,-50.41253183283617,-0.031221881905071937,-0.4196974022294298,-82.76340289006302,-12.197928521826116,58.60093283498526,53.59988347099906,-25.031566812054653,-0.015535703712858841,1.2974153136662325,-18.47084257955528,-79.51481501344456,-50.41253183283617,-25.031566812054653,226.34836470616028,0.009228783066448896,3.7342161730315135,245.29544365579318,-125.54972721465478,-0.031221881905071937,-0.015535703712858841,0.009228783066448896,0.000616253026029637,0.03546813615669774,0.03919806400353223,-0.15532924955905889,-0.4196974022294298,1.2974153136662325,3.7342161730315135,0.03546813615669774,4.250075275950426,8.450991247306373,-27.341693337286497,-82.76340289006302,-18.47084257955528,245.29544365579318,0.03919806400353223,8.450991247306373,613.6597818435898,-514.465093504513,-12.197928521826116,-79.51481501344456,-125.54972721465478,-0.15532924955905889,-27.341693337286497,-514.465093504513,5767.736547187395
9,0,0.27659630779621613,0.7234036922037835,17.903787808452993,10.936857349989959,84.62991676114063,6.4602863925389205,8.993672846500724,56.42084829808669,488.67793209832115,55.677391128759936,40.85535516346364,-50.85444817727637,-4.49196922223549,-7.491242285269389,-111.88750390755295,124.568058683837,40.85535516346364,37.240106533794425,-23.33646838644029,3.870001291260906,-0.16988309455815376,-43.38445063553464,54.38499538527652,-50.85444817727637,-23.33646838644029,178.8100384183915,45.811007331623735,28.124877100041545,292.1524353798672,-300.97969254562946,-4.49196922223549,3.870001291260906,45.811007331623735,150.39832015692775,22.567591465984044,77.22027651956078,-136.23828993280378,-7.491242285269389,-0.16988309455815376,28.124877100041545,22.567591465984044,16.073045221897793,58.55311923845374,-50.86471319602883,-111.88750390755295,-43.38445063553464,292.1524353798672,77.22027651956078,58.55311923845374,726.075858626899,-640.2464120628091,124.568058683837,54.38499538527652,-300.97969254562946,-136.23828993280378,-50.86471319602883,-640.2464120628091,4169.826381143412
9,1,0.27659630779621613,0.7234036922037835,23.810482184448016,12.134192058085679,70.66996052472231,0.0068233461220456,0.9012944535861037,23.690077247247462,532.5896564376671,78.54405767058238,58.27320299805837,-51.80214917686317,-0.019743551594636664,-0.31992216694165665,-83.08359463306647,-19.942370238460366,58.27320299805837,53.22052319991171,-25.589112594644746,-0.009631634078902022,1.051654607069071,-18.78387861362742,-86.24281487577838,-51.80214917686317,-25.589112594644746,225.30702798233622,0.01805151918903915,3.7031562168251164,245.24187830382417,-131.9046094339915,-0.019743551594636664,-0.009631634078902022,0.01805151918903915,0.00047976535203388826,0.03059367142902551,0.03515041321776251,-0.11570593370545108,-0.31992216694165665,1.051654607069071,3.7031562168251164,0.03059367142902551,3.73830936815185,7.623924650696012,-28.960373298218826,-83.08359463306647,-18.78387861362742,245.24187830382417,0.03515041321776251,7.623924650696012,614.080793344766,-523.3799612555459,-19.942370238460366,-86.24281487577838,-131.9046094339915,-0.11570593370545108,-28.960373298218826,-523.3799612555459,5723.881358491801
10,0,0.2928555507283861,0.7071444492716134,17.97646952158287,10.872549913205871,83.75031217105465,6.107469059142024,8.851932155034847,54.34362729711905,490.75865535020586,57.03740742785324,41.39547890794108,-47.77863818112079,-4.688364218797681,-7.20213405741351,-108.78009510130472,127.2999886247964,41.39547890794108,37.92752502453056,-20.92709557676247,4.03325168062005,0.27055000371065296,-37.410812862756146,50.37898497546083,-47.77863818112079,-20.92709557676247,198.81911769475258,48.52937803827791,28.744188151934733,319.0268294497089,-314.24024269643496,-4.688364218797681,4.03325168062005,48.52937803827791,144.16593332924515,22.164726096161512,85.37751974897382,-141.16074172009934,-7.20213405741351,0.27055000371065296,28.744188151934733,22.164726096161512,15.76027984618207,60.93222448114772,-53.706579456532516,-108.78009510130472,-37.410812862756146,319.0268294497089,85.37751974897382,60.93222448114772,783.3295490907752,-694.1025539499753,127.2999886247964,50.37898497546083,-314.24024269643496,-141.16074172009934,-53.706579456532516,-694.1025539499753,4086.840083562374
10,1,0.2928555507283861,0.7071444492716134,23.916193451411743,12.188354324005786,70.71325969353282,0.004555197162301627,0.773928117016042,23.797761246504706,532.7376036355382,78.04661838075653,58.16233275822558,-53.751804363037124,-0.005573897164650955,0.25169760571192534,-85.27832860413864,-24.026862607044208,58.16233275822558,53.20188754158554,-26.344551277497686,-0.0011315479253978748,1.2684823203398674,-20.010549640265342,-89.11640804586217,-53.751804363037124,-26.344551277497686,223.4570626344734,0.03012651756190412,4.008879558090417,245.6985702184263,-135.70457453513646,-0.005573897164650955,-0.0011315479253978748,0.03012651756190412,0.00023357046499437403,0.01871231276728505,0.05634755265831021,-0.10432428779792936,0.25169760571192534,1.2684823203398674,4.008879558090417,0.01871231276728505,3.004012703232247,8.152146266557432,-28.519206921503795,-85.27832860413864,-20.010549640265342,245.6985702184263,0.05634755265831021,8.152146266557432,617.6776733769498,-529.5478867209263,-24.026862607044208,-89.11640804586217,-135.70457453513646,-0.10432428779792936,-28.519206921503795,-529.5478867209263,5823.508822042566
11,0,0.30173670292514754,0.6982632970748521,18.118027666925087,10.909384245076216,83.55882327829063,5.929963857505276,8.792234577387456,53.6820094437388,491.5085355872884,57.27790217033403,41.12512304107889,-48.61810786629359,-5.378253048263504,-7.241968020993885,-111.27661874072692,129.5175285428242,41.12512304107889,37.74386641145125,-21.01103322902671,3.6974822758241688,0.2801055675877658,-36.602524944440354,49.59295165086441,-48.61810786629359,-21.01103322902671,197.44886334682263,48.220763063528665,28.324189105890373,319.37120259960165,-315.1083075775872,-5.378253048263504,3.6974822758241688,48.220763063528665,140.96163140219105,21.861826442197398,86.72336502761353,-141.3796708105927,-7.241968020993885,0.2801055675877658,28.324189105890373,21.861826442197398,15.531259600453176,60.60304712862881,-54.16007524356048,-111.27661874072692,-36.602524944440354,319.37120259960165,86.72336502761353,60.60304712862881,794.8228819947163,-708.3810654916801,129.5175285428242,49.59295165086441,-315.1083075775872,-141.3796708105927,-54.16007524356048,-708.3810654916801,4021.4315639036336
11,1,0.30173670292514754,0.6982632970748521,23.93056955312272,12.189172911181823,70.63018956748779,0.0036371014228895144,0.6969814505066629,23.695152250725947,532.947488701916,78.47899047975154,58.56577797295518,-53.75618600432099,-0.004891235524028988,0.3313778444304681,-85.11770007776745,-25.637493274641013,58.56577797295518,53.49480388749846,-26.472274957780826,-0.00045638469067272686,1.250727962078124,-20.479088965145554,-90.17106960623002,-53.75618600432099,-26.472274957780826,224.3355933483407,0.024893266916090742,3.529706637205949,245.74369290439014,-133.71654814556885,-0.004891235524028988,-0.00045638469067272686,0.024893266916090742,0.0001603664749626085,0.013298882387891401,0.055525817188134347,-0.09698074268636048,0.3313778444304681,1.250727962078124,3.529706637205949,0.013298882387891401,2.520082360449687,7.557232810953896,-27.35485934900868,-85.11770007776745,-20.479088965145554,245.74369290439014,0.055525817188134347,7.557232810953896,616.0033463368047,-526.6396218150115,-25.637493274641013,-90.17106960623002,-133.71654814556885,-0.09698074268636048,-27.35485934900868,-526.6396218150115,5878.367121077914
12,0,0.31334113098484445,0.6866588690151555,18.216559350212936,10.923762325468257,83.42152346350038,5.7124551187535815,8.645194524281903,53.37492778978246,492.0794675239855,57.61521880460772,40.74365592050083,-49.087005015175656,-5.735669932345709,-7.306385366915875,-113.84788466080443,131.1319606789141,40.74365592050083,37.19495889971365,-20.42977521508646,3.4793634629260284,0.2979025304797256,-36.33277451357317,48.23162886161578,-49.087005015175656,-20.42977521508646,198.01863835610914,47.21071996870081,27.769769041374854,324.1791649255612,-320.6636965252528,-5.735669932345709,3.4793634629260284,47.21071996870081,136.97134099453763,21.883767096350596,85.24582048660078,-139.36954969248842,-7.306385366915875,0.2979025304797256,27.769769041374854,21.883767096350596,15.602809395211194,59.64527609700003,-54.95928527887899,-113.84788466080443,-36.33277451357317,324.1791649255612,85.24582048660078,59.64527609700003,805.229344864039,-724.6265263645276,131.1319606789141,48.23162886161578,-320.6636965252528,-139.36954969248842,-54.95928527887899,-724.6265263645276,3946.031713926619
12,1,0.31334113098484445,0.6866588690151555,23.98383791785753,12.204240031119904,70.4743513115714,0.002738258740558299,0.6272713103545197,23.32850874601385,533.3872687807213,78.62781395571155,59.003111553494044,-53.29006332132043,-0.002394572331856691,0.5402950228349273,-82.68610108414737,-29.738428703423367,59.003111553494044,54.0002664677056,-26.71195021936055,0.00029027019644654346,1.2971255736656488,-20.049681660273727,-92.21316340242025,-53.29006332132043,-26.71195021936055,223.29233342719502,0.01721808117260158,2.949544831436098,239.36760476048062,-124.92222072421616,-0.002394572331856691,0.00029027019644654346,0.01721808117260158,0.0001135423904138476,0.009763461400340798,0.03778863602641679,-0.07628437515249195,0.5402950228349273,1.2971255736656488,2.949544831436098,0.009763461400340798,2.231676844321405,6.095657849526415,-25.68854383447986,-82.68610108414737,-20.049681660273727,239.36760476048062,0.03778863602641679,6.095657849526415,601.2626764207128,-508.532933035263,-29.738428703423367,-92.21316340242025,-124.92222072421616,-0.07628437515249195,-25.68854383447986,-508.532933035263,5936.386032632447
13,0,0.3350363039456433,0.6649636960543565,18.389304457666185,10.953740028731005,83.216138571837,5.346062307839478,8.357637356594754,52.94910174585851,493.00939380470976,59.879973885673536,41.38503107443276,-51.40468120775543,-6.27832881868914,-7.546671698070939,-120.32476248248541,132.20495813001617,41.38503107443276,37.09403765833036,-20.64716306241775,3.095506953821097,0.16100179762063352,-38.06233273094509,45.657703668359225,-51.40468120775543,-20.64716306241775,201.91555388386053,45.240542603210464,26.820584899889734,336.2953423058419,-328.26067790010364,-6.27832881868914,3.095506953821097,45.240542603210464,130.04067189789984,21.98838080395882,81.97927174520859,-135.26580934088403,-7.546671698070939,0.16100179762063352,26.820584899889734,21.98838080395882,15.795936801841908,57.55835780428567,-55.32780839951354,-120.32476248248541,-38.06233273094509,336.2953423058419,81.97927174520859,57.55835780428567,826.5455810682432,-745.3130834517352,132.20495813001617,45.657703668359225,-328.26067790010364,-135.26580934088403,-55.32780839951354,-745.3130834517352,3845.1451813460353
13,1,0.3350363039456433,0.6649636960543565,24.084965579580043,12.230913015675123,70.15541699160998,0.001056359892709582,0.5105609685146937,22.562760063569243,534.2664458430606,78.06576389841307,59.22800578797356,-51.496811287630486,0.0028816098561942082,0.9294502086966067,-76.4904318987735,-37.17265620280469,59.22800578797356,54.58342840091619,-26.582940956520517,0.0016773842654799322,1.4345010671302685,-18.093445461259737,-96.03782815170648,-51.496811287630486,-26.582940956520517,219.24100954842928,0.0007577879554799892,1.8696535599525737,223.40257905923562,-107.22336879974793,0.0028816098561942082,0.0016773842654799322,0.0007577879554799892,2.7556670130319744e-05,0.0038677108118144936,-0.00181346128842307,-0.031905364146609556,0.9294502086966067,1.4345010671302685,1.8696535599525737,0.0038677108118144936,1.868727884629639,3.4624609850978456,-23.246170283153845,-76.4904318987735,-18.093445461259737,223.40257905923562,-0.00181346128842307,3.4624609850978456,566.628721635093,-472.63357044800637,-37.17265620280469,-96.03782815170648,-107.22336879974793,-0.031905364146609556,-23.246170283153845,-472.63357044800637,6033.982998120475
14,0,0.3431294209746158,0.6568705790253841,18.586533824875705,10.985827653454354,82.85296626320492,5.220968540416294,8.258934384988018,52.03160817603021,493.455126636059,62.52449440491424,42.929396538625106,-54.50186780130208,-7.152336362974844,-8.175012489967608,-125.29408574210943,127.53390255581039,42.929396538625106,38.52705402615147,-21.481376137000517,2.856165215638396,0.02590453523749109,-37.36645274732668,39.30946369379535,-54.50186780130208,-21.481376137000517,204.91173145094837,46.05563756973459,27.672382094500275,346.10352503700886,-326.7647874767212,-7.152336362974844,2.856165215638396,46.05563756973459,127.62131805266138,21.980901608715794,84.80091775506821,-134.38385118692958,-8.175012489967608,0.02590453523749109,27.672382094500275,21.980901608715794,15.826735907529168,59.95127720099492,-55.84565308615693,-125.29408574210943,-37.36645274732668,346.10352503700886,84.80091775506821,59.95127720099492,852.5178473692653,-751.2257862587061,127.53390255581039,39.30946369379535,-326.7647874767212,-134.38385118692958,-55.84565308615693,-751.2257862587061,3794.6882449707605
