day,cluster,cluster0,cluster1,cluster2,cluster3,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
5,1,0.30933781682430306,0.25550673603228236,0.24001302192772,0.19514242521569444,25.527353036466238,10.479765772726212,57.07603722577009,0.4886257735750584,2.78978343863426,32.715905168422864,240.72132547607282,33.732440840079555,24.67775432315072,-19.780627339079558,0.9309308406916673,1.3657218796686332,-24.318778118496258,105.2761944005514,24.67775432315072,27.610860357361663,-9.175313763174533,1.1513207822025082,8.721789807063127,23.14017137604715,44.06199978626044,-19.780627339079558,-9.175313763174533,68.22008733811586,2.6789909949545465,17.591326641897055,91.98093981627032,-152.43833354883895,0.9309308406916673,1.1513207822025082,2.6789909949545465,3.431979246902192,8.752140500088169,19.687347089321264,0.7074995203436021,1.3657218796686332,8.721789807063127,17.591326641897055,8.752140500088169,38.07931229937528,92.56893415934951,-16.909484678287097,-24.318778118496258,23.14017137604715,91.98093981627032,19.687347089321264,92.56893415934951,593.6168789713087,-252.06510529301616,105.2761944005514,44.06199978626044,-152.43833354883895,0.7074995203436021,-16.909484678287097,-252.06510529301616,1676.4817690217005
5,2,0.30933781682430306,0.25550673603228236,0.24001302192772,0.19514242521569444,9.88544140463295,4.910490627523689,85.73192207823634,5.815337636395681,56.257791331743476,87.38885864038326,42.33820557219424,39.928593296278535,31.91677227084663,-6.166971641700952,15.082477150475384,17.67491407771548,0.8070924191371431,144.21937054028948,31.91677227084663,28.487240607910916,-2.1665467336508173,12.302262868613111,18.512127900213056,6.6812658951237465,99.15154443619538,-6.166971641700952,-2.1665467336508173,45.27802040586879,7.114502233029473,50.42998704570139,23.169107476908778,-103.4213593311362,15.082477150475384,12.302262868613111,7.114502233029473,24.138065186893577,47.064167012938924,15.906041291057605,33.790473305328426,17.67491407771548,18.512127900213056,50.42998704570139,47.064167012938924,385.2985909764009,109.97328395294585,-54.23213553059632,0.8070924191371431,6.6812658951237465,23.169107476908778,15.906041291057605,109.97328395294585,173.53059474338266,-166.18522919325548,144.21937054028948,99.15154443619538,-103.4213593311362,33.790473305328426,-54.23213553059632,-166.18522919325548,1164.4942240740234
5,3,0.30933781682430306,0.25550673603228236,0.24001302192772,0.19514242521569444,18.743204817654945,7.429392999884556,66.09637937298388,0.6340519833171014,15.837452825977431,54.76747148241454,164.77791735925862,46.5092707015314,43.14559620233626,3.052195858335003,0.733676508269391,29.435471461726866,86.20181889289744,108.89646527891844,43.14559620233626,54.5108623917285,24.769965717225,1.527693467352199,55.79561819122681,151.38802005639496,39.5284810102903,3.052195858335003,24.769965717225,131.74245305851795,5.590837046285348,114.67088194395872,166.9204339539864,-262.37784494460305,0.733676508269391,1.527693467352199,5.590837046285348,0.9698180360475492,8.405644041405484,10.510858541888911,-16.205675425448153,29.435471461726866,55.79561819122681,114.67088194395872,8.405644041405484,247.76052055178678,228.2735202416379,-190.93868528170447,86.20181889289744,151.38802005639496,166.9204339539864,10.510858541888911,228.2735202416379,929.2124145740148,-237.99557005058173,108.89646527891844,39.5284810102903,-262.37784494460305,-16.205675425448153,-190.93868528170447,-237.99557005058173,1748.394293771725
6,0,0.32493831290272407,0.22953557831729104,0.2441368978644789,0.20138921091550568,11.740743902009081,3.1360235721958465,81.31864472551582,0.07546485941499032,6.270796561209495,61.3854978113004,78.80659724492087,61.550696922896755,39.89909936498427,-27.99583756775084,-0.13457235813788024,-7.143388794105398,-5.696331106957716,286.78355442257384,39.89909936498427,32.77121591605787,-15.270560646624208,0.004278853838831564,4.295469443334766,36.739904098014485,151.55894368165355,-27.99583756775084,-15.270560646624208,89.27520521822359,0.3190837555092917,22.246758901404803,60.15333501601079,-320.79630109439876,-0.13457235813788024,0.004278853838831564,0.3190837555092917,0.020052101115265848,0.8046891892266497,0.9505850682986537,-1.7673166806265204,-7.143388794105398,4.295469443334766,22.246758901404803,0.8046891892266497,75.20809606471349,95.00565708453973,-116.60644055546408,-5.696331106957716,36.739904098014485,60.15333501601079,0.9505850682986537,95.00565708453973,802.492544220901,-518.8494049536673,286.78355442257384,151.55894368165355,-320.79630109439876,-1.7673166806265204,-116.60644055546408,-518.8494049536673,2483.454507319281
6,1,0.32493831290272407,0.22953557831729104,0.2441368978644789,0.20138921091550568,25.911296951243735,10.6866990444249,56.59494051064064,0.5464968497022645,2.636172324860165,32.07111242615753,243.65937928495228,32.298596184257285,22.706394503676194,-20.664063254702906,0.8276044007053915,1.2676555279637192,-30.185498241945808,96.05664680227147,22.706394503676194,24.59602676614052,-10.472712496402767,1.1504006190726221,7.626874317068978,13.224389835636021,28.987685984827614,-20.664063254702906,-10.472712496402767,67.51100082517598,3.321523751208186,17.009951361827603,96.78455834518005,-151.54143718581548,0.8276044007053915,1.1504006190726221,3.321523751208186,3.8194104355933214,9.880704998019956,22.67476058421093,-1.5847417734126694,1.2676555279637192,7.626874317068978,17.009951361827603,9.880704998019956,37.07769178865851,92.04066583266332,-32.958160455122844,-30.185498241945808,13.224389835636021,96.78455834518005,22.67476058421093,92.04066583266332,577.7366671724172,-330.80208099125394,96.05664680227147,28.987685984827614,-151.54143718581548,-1.5847417734126694,-32.958160455122844,-330.80208099125394,1619.953970142128
6,2,0.32493831290272407,0.22953557831729104,0.2441368978644789,0.20138921091550568,10.0274096145599,4.977173486719846,85.66014778259026,5.775303912697259,56.144993700306166,87.09356418331976,44.133649637826906,39.84145176707658,31.717517805466766,-7.234388983950559,14.358320422134673,14.99295229111851,-1.5106688651873594,151.26597855373714,31.717517805466766,28.245244737073676,-2.807951681218199,11.850379945103864,17.207113281425052,5.401739102726472,102.30495105449035,-7.234388983950559,-2.807951681218199,44.99586049137787,6.962129475250502,49.590279918493344,22.919397526398836,-114.25858318116346,14.358320422134673,11.850379945103864,6.962129475250502,23.885969758416852,46.20282187894911,16.45328926164359,28.493494961800433,14.99295229111851,17.207113281425052,49.590279918493344,46.20282187894911,381.69218073905677,109.84088340205783,-75.12116206820437,-1.5106688651873594,5.401739102726472,22.919397526398836,16.45328926164359,109.84088340205783,174.18364692119832,-191.2361076546392,151.26597855373714,102.30495105449035,-114.25858318116346,28.493494961800433,-75.12116206820437,-191.2361076546392,1291.8627470950028
6,3,0.32493831290272407,0.22953557831729104,0.2441368978644789,0.20138921091550568,18.50999576454904,7.064725353519761,65.54583958505798,0.5598749581717657,15.00821206837617,53.08591145386921,168.04769678919763,50.4048240250471,46.13932579495336,-2.9619750710831063,0.7214947108323039,31.34730412599466,84.86244025195796,171.0201743355172,46.13932579495336,57.71113813159387,20.425272212410388,1.4820547348918152,57.49378163201966,154.74614121397772,88.74672480185642,-2.9619750710831063,20.425272212410388,134.71991007570253,5.146454349390022,108.70629455769114,166.75464247117603,-312.09999283188665,0.7214947108323039,1.4820547348918152,5.146454349390022,0.6775980723580367,6.6271063690342125,9.425709121093366,-17.301565255572157,31.34730412599466,57.49378163201966,108.70629455769114,6.6271063690342125,217.21187220229723,228.41700961727767,-194.6662101139344,84.86244025195796,154.74614121397772,166.75464247117603,9.425709121093366,228.41700961727767,930.5470270601039,-202.1571000320382,171.0201743355172,88.74672480185642,-312.09999283188665,-17.301565255572157,-194.6662101139344,-202.1571000320382,2466.8259811672287
7,0,0.34808536369375004,0.19154292998125902,0.24975801422259192,0.21061369210239944,13.0180410665112,3.963422754852821,79.36986634908251,0.05558193854222339,5.542672514879436,59.88580660347545,90.1594826543451,72.6284679147008,47.59256457622767,-45.382736727976805,-0.12429061003868379,-8.68494521863114,-20.086551210398483,381.31211198049596,47.59256457622767,38.544490439281475,-26.76761798096658,0.00519223302916718,2.717090183790629,29.463109706756228,214.01003315136683,-45.382736727976805,-26.76761798096658,114.91869463407775,0.30556464025486746,24.537922058424098,80.82730385434051,-475.60822231483945,-0.12429061003868379,0.00519223302916718,0.30556464025486746,0.012025047559582164,0.6138582174150108,0.9693227341551427,-1.7610810965132604,-8.68494521863114,2.717090183790629,24.537922058424098,0.6138582174150108,65.82946406084115,92.13454425362436,-132.91605861163242,-20.086551210398483,29.463109706756228,80.82730385434051,0.9693227341551427,92.13454425362436,832.9531191092747,-648.1026134222512,381.31211198049596,214.01003315136683,-475.60822231483945,-1.7610810965132604,-132.91605861163242,-648.1026134222512,3336.438542300624
7,1,0.34808536369375004,0.19154292998125902,0.24975801422259192,0.21061369210239944,26.37940570090295,10.772337488278968,55.74755972774473,0.6385436887355183,2.5158281775240092,30.437049695919555,249.3384596842107,31.084370383097607,21.101677807561234,-22.122567367419755,0.7135532899617943,1.115315956725706,-34.990263499080505,88.18872768199856,21.101677807561234,21.51938804350564,-12.851434174680447,1.2335609623990336,6.482293007921619,1.606552314570993,18.964913959176542,-22.122567367419755,-12.851434174680447,67.91701632125738,4.37712215657546,17.343327914606757,105.73263595502637,-140.5972980609011,0.7135532899617943,1.2335609623990336,4.37712215657546,4.522557515208654,11.726036233205253,27.807069096630617,-6.023645651465501,1.115315956725706,6.482293007921619,17.343327914606757,11.726036233205253,38.69149286724414,98.48890074760027,-49.273520688005114,-34.990263499080505,1.606552314570993,105.73263595502637,27.807069096630617,98.48890074760027,560.9712292211162,-388.0056256798164,88.18872768199856,18.964913959176542,-140.5972980609011,-6.023645651465501,-49.273520688005114,-388.0056256798164,1514.5380861216822
7,2,0.34808536369375004,0.19154292998125902,0.24975801422259192,0.21061369210239944,10.30171988857654,5.165037217528493,85.69198260618033,5.66521083594965,56.03680019303274,87.01571152178438,46.345844077866225,42.1119102639277,33.32099163610644,-9.607530638132443,12.951653908340816,12.311363741490139,-6.625409202105065,175.68484337486572,33.32099163610644,29.435904883744445,-4.765427690880844,10.797732636583254,16.50019722155969,1.8105048059077515,120.77687563015284,-9.607530638132443,-4.765427690880844,43.94753025540243,6.58716610777744,42.95364647342219,20.737629343950882,-129.6295295722946,12.951653908340816,10.797732636583254,6.58716610777744,23.923105693498773,45.53597104098247,16.434629288485162,18.44152896469964,12.311363741490139,16.50019722155969,42.95364647342219,45.53597104098247,382.5003648878157,102.38089645242354,-78.57144299883726,-6.625409202105065,1.8105048059077515,20.737629343950882,16.434629288485162,102.38089645242354,167.23860766060346,-217.111238143074,175.68484337486572,120.77687563015284,-129.6295295722946,18.44152896469964,-78.57144299883726,-217.111238143074,1507.4621106864947
7,3,0.34808536369375004,0.19154292998125902,0.24975801422259192,0.21061369210239944,17.95344265540378,6.5374621410964995,65.61455722657223,0.5512075402274481,14.079909642965754,51.53225301271877,168.25099491082418,53.72634466617877,47.12909479153311,-13.380841881232099,0.44415820964512925,25.761779060816984,73.22474346587688,254.33295378488026,47.12909479153311,57.31589464644238,12.587519945582219,1.3884422424363398,50.03157504918047,144.31073893452776,146.545732428658,-13.380841881232099,12.587519945582219,144.1417241201231,5.005702194263476,99.0473251537753,162.17802842341715,-410.3118388297452,0.44415820964512925,1.3884422424363398,5.005702194263476,0.5846259619436067,6.232155017340257,9.438652218760947,-18.909454766828542,25.761779060816984,50.03157504918047,99.0473251537753,6.232155017340257,168.11929889810867,219.27405652938918,-230.11262640249853,73.22474346587688,144.31073893452776,162.17802842341715,9.438652218760947,219.27405652938918,891.9261451773597,-206.85242600973143,254.33295378488026,146.545732428658,-410.3118388297452,-18.909454766828542,-230.11262640249853,-206.85242600973143,3490.0797000906528
8,0,0.3903519948178848,0.14397372362234012,0.25893957211436536,0.20673470944540973,14.80807281228601,5.022634144912571,76.24549861148117,0.03827455810381489,4.634009908708724,56.87094728440653,107.90251922087711,84.86619149747358,55.8669739686722,-69.52400490840732,-0.09625469976511053,-8.299745281484439,-39.583722977372155,505.59345966383,55.8669739686722,44.58001802673496,-42.24793032378841,0.005650462908056674,1.950407426614308,17.79596892819587,294.519350793322,-69.52400490840732,-42.24793032378841,156.10049359048267,0.26808829858275973,25.17231279388104,117.18780652980493,-711.0091461024298,-0.09625469976511053,0.005650462908056674,0.26808829858275973,0.006051956452700592,0.41438127534073504,0.8397014049579674,-1.5059047343746164,-8.299745281484439,1.950407426614308,25.17231279388104,0.41438127534073504,51.56766144449256,85.61779404001021,-134.48509253376588,-39.583722977372155,17.79596892819587,117.18780652980493,0.8397014049579674,85.61779404001021,855.4442120511645,-829.8787049925683,505.59345966383,294.519350793322,-711.0091461024298,-1.5059047343746164,-134.48509253376588,-829.8787049925683,4603.172318202349
8,1,0.3903519948178848,0.14397372362234012,0.25893957211436536,0.20673470944540973,26.796321332212166,10.647504598758484,54.809772260568394,0.8338448860787613,2.7062232994143383,28.185954802271205,258.709519784654,29.879265101287334,20.165757791798267,-24.01453592451016,0.6597950693874709,0.7427167672968525,-37.457366790034705,82.24038757319997,20.165757791798267,19.390834280525365,-15.613093606033873,1.7201187306568013,6.627873746831871,-8.105633519406648,23.637954568020106,-24.01453592451016,-15.613093606033873,73.68500130067297,6.439045214981111,21.917543244340976,124.25131593944813,-120.75103279119602,0.6597950693874709,1.7201187306568013,6.439045214981111,5.8492582388562395,15.291247914981161,38.3196185662217,-15.393073634586761,0.7427167672968525,6.627873746831871,21.917543244340976,15.291247914981161,47.137889572555046,122.92361973568512,-70.89762206628251,-37.457366790034705,-8.105633519406648,124.25131593944813,38.3196185662217,122.92361973568512,573.380103077293,-392.5032699514864,82.24038757319997,23.637954568020106,-120.75103279119602,-15.393073634586761,-70.89762206628251,-392.5032699514864,1319.6623323714298
8,2,0.3903519948178848,0.14397372362234012,0.25893957211436536,0.20673470944540973,10.580837729059532,5.3494418249087,85.60301493106454,5.515239488055906,55.17723467928388,86.91192692642437,48.6253408340913,45.53863019187906,35.14970167537314,-11.80310359194757,11.794687291455615,7.061992868919888,-12.391824114770127,204.52088785820567,35.14970167537314,30.26936697370778,-6.229379538238546,9.886190783447567,13.122007396394752,-1.9403200139952574,137.8547310355515,-11.80310359194757,-6.229379538238546,43.41640808460835,6.459289050547306,41.73237215031431,20.62429091477047,-145.68853396856176,11.794687291455615,9.886190783447567,6.459289050547306,23.772682337349313,47.529478790413,15.821580099392921,11.462436627887111,7.061992868919888,13.122007396394752,41.73237215031431,47.529478790413,397.1464978472651,96.63596645812562,-113.36947146371963,-12.391824114770127,-1.9403200139952574,20.62429091477047,15.821580099392921,96.63596645812562,161.92548096596812,-244.8932812353501,204.52088785820567,137.8547310355515,-145.68853396856176,11.462436627887111,-113.36947146371963,-244.8932812353501,1719.8159850162829
8,3,0.3903519948178848,0.14397372362234012,0.25893957211436536,0.20673470944540973,17.221257410022897,5.955094322247228,66.30413337156085,0.5300193466519856,13.960811828826728,50.784805838521514,165.40552515870752,54.378586354642174,45.8294405324197,-21.536994811131486,0.06364673609313796,20.011816437463274,56.22909429823435,313.6313600616513,45.8294405324197,55.04119004936794,8.396699935947927,1.129353999741161,45.432962676920454,131.27220243070465,175.41731373740282,-21.536994811131486,8.396699935947927,156.08437652907293,4.471512156002065,96.0029289015512,169.60586847898836,-514.4484029012613,0.06364673609313796,1.129353999741161,4.471512156002065,0.44640708808941143,5.268799751413974,9.100965555073707,-20.293594298049943,20.011816437463274,45.432962676920454,96.0029289015512,5.268799751413974,151.71043753991475,218.72540224158237,-281.37863816661803,56.22909429823435,131.27220243070465,169.60586847898836,9.100965555073707,218.72540224158237,864.698339897994,-307.7296467098734,313.6313600616513,175.41731373740282,-514.4484029012613,-20.293594298049943,-281.37863816661803,-307.7296467098734,4439.019509044798
